architecture,is_architecture,author/s,city,country,start_year,end_year,qty_title,qty_paragraph,qty_caption,qty_unassigned,qty,certainty_score,fuctional_type_infered,fuctional_type_classified,uses_wikipedia
School Engineering,Yes,The final answer: The architect/s,New York,United States,1905,1905,0,0,0,1,1,0.945618391,office,Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary,FALSE
Fundacion Cristiana de la Vivienda Christian Housing Foundation,Yes,The Fundacion Cristiana de la Vivienda,San Diego,United States,2003,2010,0,0,0,1,1,0.9923931956,house,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
San Cristébal,No,,,,,,,,,,,,,,
Fundacion Cristiana de,No,,,,,,,,,,,,,,
Alto de los Pinos,No,,,,,,,,,,,,,,
El Parque,Yes,Salmona,Bogota,Colombia,1965,1965,0,1,1,0,2,0.9982684255,residential,Park,FALSE
State Guest House,Yes,government of a country,New York,country,unanswerable,unanswerable,0,1,0,1,2,0.9788939357,residence,Government Residence and Palace,TRUE
Casa de Huespedes,Yes,Salmona,Cartagena,Colombia,1980,1980-82,0,1,1,0,2,0.9977557659,house,Hospital / Clinic / Dispensary,FALSE
Metropolitan Theatre,Yes,Oscar Mesa,Medellin,Colombia,1986,1986,0,1,1,0,2,0.9879242778,public,Theater,FALSE
La Mota housing complex,Yes,Oscar Mesa,Medellin,Colombia,1987,1987,0,0,1,0,1,0.9047263265,housing,Hospital / Clinic / Dispensary,FALSE
