text,label
BOOK Adam Sharr Modern Architecture.pdf,Caption
Modern Architecture: A Very Short Introduction,Title
Chapter 1,Title
Introduction,Title
"Somewhere between 1910 and 1970, architecture changed. Now that",Paragraph
modern architecture is familiar—and we’ve seen how it became both,Paragraph
celebrated and vilified—it’s hard to imagine how novel it once seemed.,Paragraph
"Expensive Western buildings became transformed from ornamented fancies,",Paragraph
"which referred to the classical and medieval pasts, into strikingly plain",Paragraph
"reflections of novel materials, technologies, and ideas. It’s equally hard to",Paragraph
"remember how modem architecture promised transformation, seemingly",Paragraph
"poised to turn dirty, overcrowded cities—characterized by packed slums",Paragraph
and Satanic mills—into spacious realms of generous housing and clean,Paragraph
"mechanized production, set in parkland. At certain times and in certain",Paragraph
"cultures, modern architecture stood for the liberation of the future from the",Paragraph
past.,Paragraph
The phrase ‘modern architecture’ describes a spectrum of buildings and,Paragraph
"ideas. From Shakespeare’s times until the 19th century, ‘modern’ in English",Paragraph
meant ‘up to date’. The idea of progress became important in the 19th,Paragraph
century and that made the modern ‘progressive’: part of an apparently,Paragraph
"predestined course from an impoverished past, to a still inadequate present,",Paragraph
"towards an idealized future. More recently however, the term modern",Paragraph
largely came to describe a specific time in the 20th century when many,Paragraph
"people, especially in the West, seemed persuaded that a better future was on",Paragraph
its way.,Paragraph
"For some historians, modern architecture refers primarily to stark white",Paragraph
"buildings from the 1920s and 1930s: crisp, hovering edifices which, so the",Paragraph
"story goes, reflected honestly their internal functions on the outside,",Paragraph
"illustrating how they were put together, highlighting the ‘shock of the new’.",Paragraph
"For others, the idea of a modern architectural future had a longer history. It",Paragraph
"dated back to the Paris World’s Fair of 1889, or John Ruskin’s 1849",Paragraph
exhortations about how medieval Gothic cathedrals expressed structure,Title
honestly in stone.,Paragraph
"Just as it’s possible to argue about the beginnings of modern architecture, its",Paragraph
"demise has been much debated. For various commentators, modern",Paragraph
architecture is over. It was supplanted by ‘postmodernism’ in the 1980s and,Paragraph
"1990s, when architects became less interested in the expression of function,",Paragraph
and returned to historical motifs (like the 1991 extension to London’s,Paragraph
"National Gallery, designed by Venturi, Scott Brown and Associates), or",Paragraph
striking shape-making of various kinds (like the sinuous Guggenheim,Paragraph
"Museum, Bilbao, 1997, designed by Frank O. Gehry’s studio). For others,",Caption
modern architecture—as the expression of contemporary building,Paragraph
"technologies, as the idea of making construction legible and transparent—",Paragraph
"remains current, no matter that other disciplines insist on the demise of",Paragraph
modernity in their fields.,Paragraph
"I’ll take a long and broad view of modern architecture here, examining what",Paragraph
"Harold Rosenberg called ‘the tradition of the new’, arguing that it didn’t",Paragraph
"just emerge fully formed in the 1910s and 1920s, or as the consequence of",Paragraph
"19th-century pioneers, but was instead the product of two centuries of",Paragraph
"industrialization, and the global spread of industrial culture. I set out neither",Paragraph
