text,label
BOOK Alan Colquhoun Modern Architecture.pdf,Caption
Introduction,Title
The term ‘modern architecture’ is ambiguous. It can be understood to,Paragraph
refer to all buildings of the modern period regardless of their ideolog-,Paragraph
"ical basis, or it can be understood more specifically as an architecture",Paragraph
conscious of its own modernity and striving for change. It is in the,Paragraph
latter sense that it has generally been defined in histories of contem-,Paragraph
"porary architecture, and the present book follows this tradition.",Paragraph
"Already in the early nineteenth century, there was wide dissatisfaction",Paragraph
"with eclecticism among architects, historians, and critics. This well-",Paragraph
documented attitude justifies a history of modern architecture,Paragraph
"concerned primarily with reformist, ‘avant-garde’ tendencies, rather",Paragraph
than one that attempts to deal with the whole of architectural produc-,Paragraph
"tion as if it operated within a non-ideological, neutral field.",Paragraph
It is in the space between the idealist utopias of the historical avant-,Paragraph
"gardes and the resistances, complexities, and pluralities of capitalist",Title
culture that this book seeks to situate itself. Though not attempting to,Paragraph
"be in any way encyclopedic, the narrative follows an overall chronolog-",Paragraph
"ical sequence, and tries to be, perhaps, less certain in its outcome and",Paragraph
less triumphalist than those of most previous histories of modernism.,Paragraph
The book consists of a number of essays that can be read either as self-,Paragraph
"contained narratives or as part of a larger whole, each dealing with a",Paragraph
cluster of related themes reflecting an important moment in the con-,Paragraph
frontation of architecture with the external conditions of modernity. If,Paragraph
"it is still largely a history of the masters, that is because that was the",Paragraph
"nature of modernism itself, despite its many claims to anonymity.",Paragraph
A word on terminology: I use—more or less interchangeably—the,Paragraph
"terms ‘modern architecture’, ‘Modernism, ‘the avant-garde’, to mean",Paragraph
the progressive movements of the 1910s and 19208 as a whole. I also,Paragraph
"occasionally use the term ‘historical avant-garde’, which has the effect",Paragraph
of historicizing the movement and distinguishing it from contempo-,Paragraph
"rary practice. I do not follow Peter Birger (Theory of the Avant-Garde,",Paragraph
"1984), who, in the context of Dada photomontage, distinguishes",Paragraph
between an avant-garde that sought to change the status of art within,Paragraph
the relations of production and a Modernism that sought only to,Paragraph
change its forms. That these two polar positions can be applied to,Paragraph
"architecture is undeniable. But the line between them is hard to define,",Paragraph
and even the work of the Left Constructivists and Marxists like Hannes,Paragraph
"Meyer does not, in my opinion, escape aestheticism. This is hardly sur-",Paragraph
"prising, since, before it could be separated from the classical-academic",Paragraph
"theory of the arts, aesthetics had first to become an autonomous cate-",Paragraph
gory. Apart from the general terms mentioned above—which are useful,Paragraph
"precisely because of their semantic vagueness—other terms are used,",Paragraph
"either to define well-attested sub-movements, such as Futurism, Con-",Paragraph
"structivism, De Stijl, LEsprit Nouveau, and the Neue Sachlichkeit",Title
"(New Objectivity), or migratory tendencies within the overall phe-",Paragraph
"nomenon of modernism, such as organicism, neoclassicism,",Paragraph
"Expressionism, functionalism, and rationalism. I have tried to explain",Paragraph
what I mean by these slippery terms in the appropriate chapters.,Paragraph
"From a certain perspective, general terms such as ‘modernism’ can",Paragraph
"also be applied to Art Nouveau—as, indeed, the temporal span of this",Paragraph
book implies. To try to avoid such ambiguities would be to make,Paragraph
unsustainable claims for logic. Art Nouveau was both the end and the,Paragraph
"beginning of an era, and its achievements as well as its limitations were",Paragraph
the result of this Janus-like perspective.,Paragraph
Many aspects of Modernist theory still seem valid today. But much,Paragraph
"in it belongs to the realm of myth, and is impossible to accept at face",Paragraph
"value. The myth itself has now become history, and demands critical",Paragraph
interpretation. One of the main ideas motivating the protagonists of,Paragraph
the Modern Movement was the Hegelian notion that the study of,Paragraph
history made it possible to predict its future course. But it is scarcely,Paragraph
possible any longer to believe—as the Modernist architects appear to,Paragraph
"have believed—that the architect is a kind of seer, uniquely gifted with",Paragraph
the power of discerning the spirit of the age and its symbolic forms.,Paragraph
Such a belief was predicated on the possibility of projecting the condi-,Paragraph
tions of the past onto the present. For progressive-minded architects of,Paragraph
"the nineteenth century and their twentieth-century successors, it",Paragraph
seemed essential to create a unified architectural style that would reflect,Paragraph
"its age, just as previous styles had reflected theirs. This meant the rejec-",Paragraph
"tion of an academic tradition that had degenerated into eclecticism,",Paragraph
imprisoned in a history that had come to an end and whose forms could,Paragraph
only be endlessly recycled. It did not imply a rejection of tradition as,Paragraph
"such. The architecture of the future would return to the frve tradition,",Paragraph
