text,label
BOOK Aldolf Behne The Modern Functional Building.pdf,Caption
Introduction,Title
Rosemarie Haag Bletter,Title
Adolf Behne’s Der moderne Zweckbau (The Modern Functional Building) pre-,Paragraph
"sciently unmasked many of the ideologies of functionalism, rationalism, and",Paragraph
European Modernism of the 1920s. Written in 1923 (though not published,Paragraph
"until 1926), it preceded the later German publications of Walter Gropius,",Paragraph
"Ludwig Hilberseimer, Walter Curt Behrendt, and Bruno Taut and sheds much",Paragraph
light on them.? Today the Anglo-American audience remains largely familiar,Paragraph
with European Modernism through the narrow focus of Henry-Russel,Paragraph
"Hitchcock and Philip Johnson’s The International Style, 1932, although Hitch-",Paragraph
"cock’s earlier Modern Architecture: Romanticism and Reintegration, 1929, had",Paragraph
presented a somewhat more varied picture of recent developments. By con-,Paragraph
"trast, arguments about Modernism were articulated in surprisingly rich and",Paragraph
complex ways in the aforementioned European works of the 1920s.,Paragraph
Behne's Der moderne Zweckbau is crucial for understanding modernist,Paragraph
"polernics contextually, especially those later subsumed under the notion of",Paragraph
"functionalism. In a general sense, the increasing concern with purpose and",Paragraph
"Sachlichkeit in early Modernism signifies the change from older, aristo-",Paragraph
cratic value systems to an emphasis on everyday and common experience,Paragraph
as the new paradigm. Behne’s text is also helpful in reconsidering some of,Paragraph
"the standard assumptions and questions about this period, especially the",Paragraph
presumption of a visually coherent style. Instead of emphasizing the exter-,Paragraph
"nal appearance of buildings, German texts dealing with Modernism in the",Paragraph
19208 identified the new architecture through its underlying conceptua,Paragraph
premises. Contemporary expression was therefore seen as a reflection of,Paragraph
"philosophical attitudes toward modernity, and this view allowed for greater",Paragraph
visual diversity— perhaps only because an exact correspondence between,Paragraph
idea and form was difficult to establish.,Paragraph
The three-year delay in the publication of Der moderne Zweckbau reveals,Paragraph
much about the competitive nature of early Modernism. Gropius had sought,Paragraph
Behne’s assistance in preparing the Bauhaus exhibition Internationale Archi-,Paragraph
tektur in 1923; but when Behne in turn asked Gropius to change the con-,Paragraph
tent or delay the publication date of the book of the same title (the first entry,Paragraph
"in the Bauhausbiicher, or Bauhaus book series, which was projected for",Paragraph
"publication in 1924) because of its similarity to Behne’s own work, Gropius",Paragraph
refused. Gropius’s decision to start a book series hampered Behne’s efforts,Paragraph
on other fronts as well. When Behne shortly thereafter approached J. J. P.,Paragraph
Oud (whose work Behne had promoted in 1922 in his monograph on Dutch,Paragraph
"architecture) and asked him for material for his own book, Oud responded",Paragraph
that he would prefer to have his work published in the Bauhaus book series.,Paragraph
He clearly expected more publicity and credibility given the Bauhaus’s insti-,Paragraph
tutional backing.,Paragraph
"Nevertheless, books such as Gropius's Internationale Architektur, 1925,",Paragraph
portrayed contemporary architecture —as did Behne —in an astonishingly,Paragraph
varied way. Frank Lloyd Wright's Larkin Building and Erich Mendeisohn’s,Paragraph
equally massive-looking double house in Berlin were included among Inter-,Paragraph
nationale Architektur’s illustrations. Hilberseimer’s Internationale neue Bau-,Caption
"kunst (New international architecture), which appeared in 1927 under the",Paragraph
"auspices of the German Werkbund, was similarly diverse in scope. Its exam-",Paragraph
"ples ranged from an apartment house by Jan Wils to housing by Taut, in",Paragraph
addition to unexecuted schemes by Russian Constructivists. In Die neue,Paragraph
Baukunst in Europa und Amerika (simultaneously published in English as,Paragraph
"Modern Architecture), 1929, Bruno Taut was also extraordinarily inclusive in",Paragraph
his selection of examples.,Paragraph
Whereas several of these books alluded to the perceived internationalism,Paragraph
"of contemporary architecture, only Behrendt’s Der Sieg des newen Baustils",Paragraph
"The victory of the new building style), 1927, treated the new architecture as",Paragraph
"a style, as would Hitchcock and Johnson’s later study.* Notwithstanding his",Paragraph
"title, even Behrendt presented a varied picture of contemporary architecture,",Paragraph
"one that included works by Hans Poelzig, Mendelsohn, and Willem Dudok.",Paragraph
ie saw Wright's Robie House and Henry van de Velde’s theater at the Werk-,Paragraph
bund exhibition of 1914 as the key precedents to modern architecture; and,Paragraph
he presented an organic plan by Hugo Haring next to Ludwig Mies van der,Paragraph
Rohe’s De Stijl-inspired plan for a brick country house so that side-by-side,Paragraph
they appeared as equally central examples of the new style. But because Ger-,Paragraph
man proselytizers of Modernism tended to downplay the aesthetic aspects,Paragraph
"of architecture, their criteria depended less on visual elements than did",Paragraph
Hitchcock and Johnson’s work. Reinforcing this attitudinal difference was,Paragraph
the fact that contemporary architecture was commonly referred to in Ger-,Paragraph
"many as “Neues Bauen” (new building), just as in Holland it was known as",Paragraph
“Nieuw Bouwen.”5,Caption
It is not entirely clear why the term Neues Bawen became prevalent in the,Paragraph
"19208. The word modern was more commonly used prior to 1923, as for",Paragraph
"example in Karl Scheffler’s Moderne Baukunst, 1907, or, for that matter,",Paragraph
Behne’s Der moderne Zweckbau.’ Possibly under the influence of the general,Paragraph
"Expressionist conception of the new man, and more specifically the Neues",Paragraph
"Bauen exhibition of 1920 at J. B. Neumann's gallery in Berlin,’ and the popu-",Paragraph
larization after 1923 of Gustav Hartlaub’s “Neue Sachlichkeit” (conceived by,Paragraph
"him as a further evolution of Expressionism, nota reaction to it), the term new",Paragraph
attained wide currency among the German avant-garde. Taut’s Die neue Woh-,Paragraph
"nung (The new dwelling), 1924, suggests the link to Expressionism.® Neu",Paragraph
seems to have implied change and the progressivism associated with the,Paragraph
new movement more clearly than the term modern. The latter seerns almost,Paragraph
to have been perceived as a neutral chronological marker synonymous with,Paragraph
contemporary. Behne himself signifies the shift from modern to neu in his,Paragraph
"Neues Wohnen — Neues Bauen (New dwelling — New building), 1927, and the",Paragraph
emphasis on the new is apparent in the titles of Hilberseimer’s Interna-,Paragraph
"tionale neue Baukunst, Behrendt’s Der Sieg des neuen Baustils, or Taut’s Bauen—",Paragraph
"Der neue Wohnbau (Building — The new domestic architecture), 1927.°",Caption
It is also possible that neu carried political overtones that had prewar,Paragraph
origins in Germany. The weekly newspaper of the Social Democrats was,Paragraph
called Die neve Zeit. Behne wrote an essay for this paper in 1914 on the rep-,Paragraph
resentation of workers in art. His first book (subsequent to publication of,Paragraph
his doctoral thesis) was titled Zur neuen Kunst (Toward the new art) and was,Paragraph
published in 1915 by Der Sturm. Modern in a political context may have,Paragraph
"meant simply “of the present time,” whereas neue Zeit — and by implication",Paragraph
neu — suggested a rupture with past times.,Paragraph
Such contextual or regional shifts in terminology do not apply in the,Paragraph
"same way to the Anglo-American sphere, where modern continued to be the",Paragraph
preferred term. It is significant that Taut’s Die neue Baukunst in Europa und,Paragraph
"Amerika, 1929, appeared in its English edition of the same year under the",Paragraph
"title Modern Architecture. And Behrendt, the author of Der Sieg des neuen",Paragraph
"Baustils, 1927, later, while living in America, wrote Modern Building, 1937.1",Caption
"There are, however, subtle variations even within the more general discus-",Paragraph
"sion of “modern” developments, as Alan Colquhoun has recently pointed",Paragraph
out.'! Whereas in England in the 1950s the avant-garde of the 1920s was,Paragraph
generally referred to as the Modern Movement — suggesting a degree of,Paragraph
"activism and ongoing development — today we tend to prefer Modernism, a",Paragraph
word that seems to denote a historical period.,Paragraph
To understand the ideology and intricacies of the modernist debate that,Paragraph
"fueled the Neues Bauen, one needs to study more closely the polemics of",Paragraph
books by the aforementioned German authors. For this purpose Behne’s Der,Paragraph
moderne Zweckbau is the most revealing text. It fully explores and carefully sets,Paragraph
the stage for later arguments and for the development of concepts such as,Paragraph
"Sachlichkeit (objectivity, functionalism) and Zweck (purpose, function). In this",Paragraph
respect Behne’s role is comparable to that of Hartlaub in the staging of the,Paragraph
"exhibition of 1925 on the Neue Sachlichkeit in painting.’ Beyond that, Behne,",Paragraph
"a critic of both art and architecture, was also an astute observer of the con-",Paragraph
temporary scene. Although his writings do not have the acerbic consistency,Paragraph
"of Adolf Loos, many of his essays and books contain sharp, perceptive com-",Paragraph
"ments and critiques of the Werkbund, Expressionism, and the Bauhaus, as",Paragraph
"well as the work of close friends. He was not a practicing architect, yet he",Paragraph
was not exactly a completely detached observer. Bene was a major partici-,Paragraph
pant in Expressionist architectural groups after World War 1. Like Sigfried,Paragraph
"Giedion, he had the advantage of an academic education in art history and a",Paragraph
close acquaintance with nearly all of the principal architects of his time.,Paragraph
Adolf Bruno Behne was born in Magdeburg on 13,Paragraph
"uly 1885, the son of an",Paragraph
architect. When he was a year old his parents moved with him and his two,Paragraph
"older brothers, Erich and Karl, to Berlin. He grew up",Paragraph
class districts of eastern Berlin near the Centralvie,Paragraph
in one of the working-,Paragraph
hhof (main slaughter-,Title
house) and attended a Gymnasium from which he graduated in 1905. His,Paragraph
academic training commenced with the study of architecture at the Techni-,Paragraph
"sche Hochschule (Polytechnic school) in Berlin-Charlottenburg, but in 1907",Paragraph
he decided to study art history at the Friedrich-Wilhelm Universitat. After a,Paragraph
"stay in Italy, he produced his dissertation, “Der Inkrustationssti] in Toscana”",Paragraph
"(The incrustation style in Tuscany), in 1912. Among his teachers were Hein-",Paragraph
"rich Wolfflin (with whom Giedion had also studied) and Georg Simmel, the",Paragraph
great philosopher and sociologist. Thereafter he taught in a Hochschule as,Paragraph
"well as a Volkshochschule (an adult education program), and he became part",Paragraph
of the Volksbildungsbewegung (People’s education movement). This move-,Paragraph
ment was concerned with furthering education outside of academic institu-,Paragraph
"tions, and it remained an interest for Behne throughout his career. In 1913",Paragraph
"he married Elfriede Schneider, the daughter of a railroad engineer, whom he",Paragraph
had met through the mathematics club at the university. They had two,Paragraph
"daughters — Karla, born in 1913, and Julia, born in 1921.4",Caption
"Before the war Behne also belonged to the Choriner Kreis (Chorin circle),",Paragraph
"a group of young writers, artists, and architects that met on weekends for",Paragraph
walks in the woods around the small town of Chorin near Berlin. Max,Caption
"Beckmann and Taut were also members of the group, and Behne formed a",Paragraph
4,Title
long-lasting friendship with Taut.!* Among Behne’s earliest articles were,Paragraph
"those in Die Hilfe—the weekly journal published by Friedrich Naumann, a",Paragraph
"politician, former Protestant pastor, and one of the key organizers of the",Paragraph
Werkbund. Naumann had founded Die Hilfe in 1894 as the organ of the pro-,Paragraph
gressive wing of the Christian-Social movement. He had been interested in,Paragraph
using the arts to improve the quality of products because he believed that,Paragraph
"doing so “would raise the value of labor, improve the worker's status,",Paragraph
"increase his joy in work, and thus reverse the trend to proletarianization",Paragraph
"hitherto associated with the advance of capitalism.”""5 Together with the soci-",Paragraph
