text,label
BOOK Bruno Zevi The Modern Language of Architecture.pdf,Caption
THE MODERN,Title
LANGUAGE,Title
OF ARCHITECTURE,Title
By Bruno Zevi,Caption
UNIVERSITY OF WASHINGTON PRESS,Title
Seattle and London,Title
Introduction: Speaking Architecture,Title
In 1964 John Summerson published a short book entitled The,Paragraph
"Classical Language of Architecture, which has been very successful",Paragraph
throughout the world. I waited a decade for its logical and neces-,Paragraph
"sary sequel, “The Anticlassical Language of Architecture” or,",Paragraph
"rather, ‘“The Modern Language of Architecture,” but neither Sum-",Paragraph
merson nor anyone else wrote it. Why not? One can imagine a,Paragraph
host of daunting reasons. Nevertheless the gap needs filling. It,Paragraph
is the most urgent task facing architectural history and criticism,Paragraph
"today. It cannot be postponed, it is already long overdue.",Paragraph
"Without a language, we cannot speak. What is more, it is lan-",Paragraph
"~ guage that “speaks us,” in the sense that it provides the instru-",Paragraph
ments of communication without which it would be impossible,Paragraph
even to work out our thoughts. Yet in the course of centuries,Paragraph
"only one architectural language has been codified, that of classi-",Paragraph
cism. None other has been processed and put into the systematic,Paragraph
form required of an acknowledged language. All were considered,Paragraph
"exceptions to the rule, the classical rule, and not alternatives to",Paragraph
"it, with a life of their own. Even modern architecture, which",Paragraph
"emerged in reaction against neoclassicism, runs the risk of revert-",Paragraph
ing to stale Beaux-Arts archetypes unless it is structured into a,Paragraph
language.,Paragraph
This is an incredible and absurd situation. We are squandering,Paragraph
a colossal heritage of expression because we shirk the responsibil-,Paragraph
ity of transcribing it and making it transmissible. It may not be,Paragraph
"very long before we forget how to speak architecture at all. Indeed,",Paragraph
most people who are designing and building today can barely,Paragraph
mumble. They utter inarticulate meaningless sounds that carry,Paragraph
no message. They do not know how to speak. They say nothing,Paragraph
and have nothing to say. There is an even more serious danger,Paragraph
"facing us. If the modern movement is ever jettisoned, we may",Paragraph
-,Title
no longer be able to read the images of any architects who have,Paragraph
spoken a language other than classicism: the images of the Stone,Title
"Age, late antiquity and the Middle Ages, the works of the Man-",Title
"nerists, Michelangelo, Borromini, the Arts and Crafts movement",Title
"and Art Nouveau, Wright, Loos, Le Corbusier, Gropius, Mies,",Paragraph
"Aalto, Scharoun, and the younger men from Johansen to Safdie.",Paragraph
Nobody uses the classical orders today. But classicism is a state,Paragraph
of mind that goes beyond the ‘‘orders” and stultifies even those,Paragraph
discourses which are uttered using anticlassical nouns and verbs.,Paragraph
"The Beaux-Arts system actually codified Gothic, then Roman-",Paragraph
"esque, Baroque, Egyptian, Japanese, and finally modern architec-",Paragraph
ture by a very simple expedient: it put them on ice by classicizing,Paragraph
"their free structure. Surely, if it should prove impossible to formu-",Paragraph
"late the modern idiom in truly dynamic fashion, it would go",Paragraph
"the same suicidal way, which is what more than one wretched",Paragraph
critic and/or architect wishes would happen.,Paragraph
It is therefore essential that we try to codify the modern lan-,Paragraph
"guage at once, without looking for a priori solutions to all the",Paragraph
theoretical problems involved. Abstract theories are often an alibi,Paragraph
for further delays. Dozens of books and hundreds of essays have,Paragraph
discussed the question of whether or not architecture can be,Paragraph
"treated as a language, whether nonverbal languages have a double",Paragraph
"articulation (or dual patterning), and whether the attempt at codi-",Paragraph
fying modern architecture might not block its development. Se-,Paragraph
"miology is certainly essential, but by itself it cannot solve architec-",Paragraph
"tural problems. For better or worse, architects communicate. And",Paragraph
"the fact remains that they speak architecture, whether it is a",Paragraph
language or not. Thus we must set down precisely what it implies,Paragraph
"to speak architecture in an anticlassical key. If we can do this,",Paragraph
the theoretical apparatus will come by itself as we proceed with,Paragraph
our work.,Paragraph
There are thousands of architects and students of architecture,Paragraph
"designing, without knowing the vocabulary, the grammar, and",Paragraph
"the syntax of the contemporary language, which are, in fact, a",Paragraph
"kind of antivocabulary, antigrammar, and antisyntax in relation",Paragraph
"to classicism. Critical judgments are being made on two levels,",Paragraph
in the profession and in the schools. But what standards are used?,Paragraph
"And are they legitimate? This is the challenge that faces us, both",Paragraph
as producers and as consumers of architecture. If we are going,Paragraph
"to understand one another, we must use the same terms and",Paragraph
agree on their meaning. The problem seems enormous only be-,Paragraph
cause it has been so little investigated until now.,Paragraph
Ours is an intentionally provocative goal: to establish a series,Paragraph
"of “invariables” in the modern language of architecture, based",Paragraph
on the most significant and challenging buildings. A question,Paragraph
might arise. Some code is indispensable in verbal communication;,Paragraph
otherwise there is a danger of not communicating at all. In archi-,Paragraph
"tecture, however, anyone can dispense with it at will, without",Paragraph
"having to give up building for this reason. Of course, he can",Paragraph
"design even in Babylonian style if he wants to, but all he can",Paragraph
communicate are his own neuroses.,Paragraph
I have discussed the question of architectural language with,Paragraph
"scholars, practicing architects, and most often with anxious and",Paragraph
"confused students, quite bewildered by the fact that nobody",Paragraph
teaches them an idiom they can speak. A single conclusion came,Paragraph
out of these conversations: although there are excellent excuses,Paragraph
"for not facing such a difficult and painful problem, the present",Paragraph
impasse must be overcome and a beginning made.,Paragraph
This book is even shorter than Summerson’s. Only seven invari-,Paragraph
"ables are analyzed. One could add ten more, or twenty, or fifty,",Paragraph
so long as they do not contradict the first seven. The validity,Paragraph
of this approach must be tested on the drawing board and on,Paragraph
real buildings. Everyone can set about checking this “basic lan-,Paragraph
"guage.” And it should come as no surprise that, out of a hundred",Paragraph
"buildings erected nowadays, ninety prove to be altogether anach-",Paragraph
ronistic works that belong somewhere between the Renaissance,Paragraph
"and Beaux-Arts, while eight have some incoherent elements of",Paragraph
"modern “‘‘style,” and, in the best of circumstances, maybe two",Paragraph
"are merely ungrammatical, that is to say, they do not speak the",Paragraph
"old language, but neither do they speak the new one. And that",Paragraph
is not all. Even the great masters of the modern movement have,Paragraph
sometimes produced regressive classicist works. Thus one cannot,Paragraph
"help asking, what kind of language is this, if no one or very",Paragraph
few people can speak it? Let me answer with another question:,Paragraph
how could the modern language of architecture be widely spoken,Title
without a code?,Title
These pages have the same goal as any other heretical act: to,Paragraph
"arouse dissent. If they provoke argument, they will have achieved",Paragraph
"their aim. Instead of talking endlessly about architecture, we shall",Paragraph
finally begin to speak architecture. *,Paragraph
1 The dictatorship of the straight line (cartoon by Mauris) It is responsible,Caption
"tor the mania of parallels, proportions, chessboard layouts. and right angles—",Paragraph
"the lexicon, grammar, and syntax of classicism. The monuments of so-called “clas -",Paragraph
sical” antiquity have been manhandled to conform to this abstract a priori,Paragraph
