text,label
BOOK Francis Ching MJ VP A Global History of Architecture.pdf,Caption
INTRODUCTION,Title
"For a million years, humans lived off hunting,",Paragraph
"food gathering, and fishing. From the",Paragraph
perspective of our advanced world today we,Title
tend to look back at this and wonder how,Paragraph
we could even have survived given all the,Paragraph
difficulties. We once labeled these people,Paragraph
"savages or barbarians, and then we called",Paragraph
them primitives. More recently we call them,Paragraph
"hunter-gatherers, as if all they do is obsess",Paragraph
"about food acquisition. But the !Kung, who",Paragraph
have lived in the Kalahari Desert in Botswana,Paragraph
"for hundreds of thousands of years, spend",Paragraph
only about 40 percent of their time hunting,Paragraph
"and gathering. The rest of the time, they do",Paragraph
"what most of us might do: they socialize,",Paragraph
"dance, cook, and rest.",Paragraph
"In the Kalahari, rmongongo trees, which",Paragraph
produce tasty and nutritious nuts by the,Paragraph
"thousands, proliferate in mile-long groves.",Paragraph
"Tubers can be dug from the ground, and",Paragraph
"animal herds migrate through the territory,",Paragraph
easy prey for a canny hunter and his poison-,Paragraph
tipped arrows. The !Kung live in camps that,Paragraph
are rebuilt every year near seasonal water,Paragraph
oles. Women make the huts around a,Paragraph
"common campfire, usually under the shade",Paragraph
of a large tree. The huts are not really to live,Paragraph
"in, since people tend to live mainly outdoors,",Paragraph
ut serve as storage areas for tools and as,Paragraph
shade on a hot day. The modern world has,Paragraph
ittle respect for its venerable ancestors.,Paragraph
"Because of forced relocations, mining on",Paragraph
"their territory, and fences cutting across their",Paragraph
"land, the 'Kung people’s survival into the",Paragraph
next decades is much in doubt. It is not the,Paragraph
"natural world that endangers them, but our",Paragraph
civilized world.,Paragraph
"As populations expanded, groups would",Paragraph
bud off to form new communities in the next,Paragraph
"valley or further along the shores. In this way,",Paragraph
the first groups of people left Africa some 1.5,Paragraph
"million years ago with a second group, our",Paragraph
"human ancestors, following around 60,000",Paragraph
BCE to slowly yet persistently colonize the,Paragraph
"globe, reaching the southern tip of South",Paragraph
"America around 13,000 BCE. First Society",Caption
"people, however, were not nomads as is so",Paragraph
mistakenly assumed. Instead they tended to,Paragraph
"live within prescribed and familiar territories,",Paragraph
moving seasonally between winter camps,Title
near rivers and upland summer camps for,Paragraph
hunting and fishing. The ancient people of,Paragraph
"Australia, for example, moved in predictable",Paragraph
cycles: in some parts of the year they lived,Paragraph
"in relative isolation, and in other parts",Paragraph
they would get together for large annual,Paragraph
ceremonial and social events.,Paragraph
"During the Ice Age (ca. 25,000 BCE-",Paragraph
"ca. 15,000 BCE), humans faced a global",Paragraph
phenomencn the likes of which we have,Paragraph
"never seen since. The extreme cold, which",Paragraph
"sent massive, mile-deep ice sheets far to",Paragraph
"the south of the polar regions, impacted",Paragraph
Europe in particular. But the people there,Paragraph
did not leave. This was not because they,Paragraph
were trapped. It was because those areas,Paragraph
"ad become a hunter's paradise, with bears,",Paragraph
