text,label
BOOK Harry Francis Mallgrave TwentiethCentury Architecture.pdf,Caption
Introaquction,Title
The Project and Projects of Modern,Title
Architecture,Title
David Leatherbarrow,Title
"What is modern architecture?’ Strange as it may seem to ask this question today,",Paragraph
"after more than a century of answers by the movement's protagonists, apologists,",Paragraph
"and historians, the need to rethink this body of work is no less pressing in our time",Paragraph
than it was in the past. No doubt there exists some consensus about which projects,Paragraph
"were especially important and influential; this volume presents 50 that will, we",Paragraph
"trust, seem sensible choices to most readers, more or less. But the basis for that",Paragraph
"consensus, the reasons why some, and not other projects, have been judged to",Paragraph
"be especially, if variously, modern are not self-evident. The date of construction",Paragraph
"or of conception is not enough, for not everything that was built or designed in",Paragraph
the twentieth century expressed the modernity of the time. Nor were the buildings,Paragraph
"that were said to be modern consistently so, for formal elements and kinds of artic-",Paragraph
ulation that appeared to observers as novel often concealed techniques of construc-,Paragraph
tion that had been used for centuries. One should not say that adherence to pre-,Paragraph
"modern ways of building occurred by accident, or that it was a result of a desire to",Paragraph
deceive on the part of designers or critics; some measure of continuity is inescap-,Paragraph
able in the sorts of historical change that affect the material and spatial domains o:,Paragraph
"culture: cities, gardens, buildings, or rooms. Techniques, for example, accumulate in",Paragraph
"the history of building construction, new methods cooperate with old. Factory-",Paragraph
"made elements manufactured with the newest (today, digital) methods are stil",Paragraph
assembled on structural foundations built into sites according to long-standing,Paragraph
"methods. Likewise, modern arrangements of inhabitable settings, in houses or",Paragraph
"libraries, for example, do not erase; they transform, alter, or modify earlier pat-",Paragraph
"terns. The history of cities shows something similar, for their cultural and historica.",Paragraph
richness gives them the capacity to absorb even the most unprecedented o,Paragraph
insertions — and be better for it. All of this is to say that even the most strident,Paragraph
proposals are never closed in on themselves. Modern architecture was not “spoken,Paragraph
"into the void,” even if Adolf Loos, who published essays under this title, said things",Paragraph
and invented configurations that had not been said or seen before.” Only by,Paragraph
accepting the idea that modern projects adhered to inherited conditions as much,Paragraph
"as they rejected them can we understand why Loos admitted, “I am a modern",Paragraph
architect because I build in the manner of the ancient Viennese.”,Paragraph
"While many modernists would have rejected Loos’ statement, even a little his-",Paragraph
"torical study shows that no surpassing is ever complete, or desired. Advances",Paragraph
"always depend on “conversations” with predecessors. Rarely are they viva voce,",Paragraph
"of course; they are instead asymmetrical, because the past, having passed, cannot",Paragraph
answer back. Yet silence does not prevent significance. For architects with non-,Paragraph
"dogmatic minds it seems to have invited unending inquiry. Who, among the mod-",Paragraph
"erns we still study, did not say both yes and no to work from the past? Because not",Paragraph
one of the conversations between modernists and their predecessors was limited by,Paragraph
"or concluded in the twentieth century — not Tadao Ando’s with Louis I. Kahn,",Paragraph
"Kahn’s with Le Corbusier, or Le Corbusier’s with the ancient Greeks and Romans —",Paragraph
we should not be surprised that still today we find it hard to “sum up” what modern,Paragraph
architecture was or is all about.,Paragraph
"Modernity, and by implication modern architecture, has been famously",Paragraph
"described as “an incomplete project.”* Rightly celebrated and often cited, this only",Paragraph
reverses the direction of the observation we have just made: twentieth century,Paragraph
modernism reaches forward into our present just as it extended itself backward into,Paragraph
its past.,Paragraph
Nor was there only one new architecture: first there was the modernism of the,Paragraph
“pioneers”; after this came the translations of formerly new vocabularies into local,Paragraph
dialects; next followed the modernism of those who built in different regions,Paragraph
throughout the world; and then still another modern tradition emerged as a result,Paragraph
of the critical assessments that called for a renewal of early impulses. The history of,Paragraph
modern architecture is less a line of development than a field of sequential begin-,Paragraph
"nings and returnings, including false starts, real initiatives, and renewals, each ela-",Paragraph
borating new possibilities that appeared thanks to changed conditions.,Paragraph
"There is, as a result, a history of the histories of modern architecture. Through-",Paragraph
"out much of the twentieth century, reports on the new architecture insisted on the",Paragraph
novelty and progressive character of its exemplary projects. The Latin stem modo,Paragraph
can be translated as “just now.” For the early historians of the movement an acute,Paragraph
sense of the unprecedented character of conditions just now meant stopping the,Paragraph
clock of earlier ages and starting another one for the new time. According to this,Paragraph
"premise, historical change is not transitional but successive, distinct ages precede",Paragraph
"and follow one another; the Gothic, mannerist and baroque periods occurred in",Paragraph
"blocks or chunks of time, hewn out of the landscape of the past by historical science",Paragraph
"in order to be viewed independently, as separate and sequential architectural",Paragraph
approaches.,Paragraph
Two histories of the 1920s that were particularly emphatic about the epoch-,Paragraph
making advances of modern works were Adolf Behne’s The Modern Functional,Paragraph
Building (1923) and Walter-Curt Behrendt’s The Victory of the New Building Style,Paragraph
(1927). To some degree these books were both histories of the movement and pro-,Paragraph
"posals for it, simultaneously retrospective, as Behrendt announced that a victory",Paragraph
"had been won; and prospective, because his “history” set forth an agenda. No less",Paragraph
progressive were Henry-Russell Hitchcock’s Modern Architecture: Romanticism and,Paragraph
Reintegration (1929) and Alberto Sartoris’ Gli elementi dell’architettura (Elements of,Paragraph
"Functionalism, 1932), even if they had sharply different interpretations of what",Paragraph
