text,label
BOOK Henry R Hitchcock and Philip Johnson The International Style.pdf,Caption
THE,Title
INTERNATIONAL,Title
STYLE,Title
|,Title
INTRODUGTIAN,Title
The Idea of Style,Title
"Te light and airy systems of construction of the Gothic cathedrals, the",Paragraph
"freedom and slenderness of their supporting skeleton, afford, as it were, a",Paragraph
"presage of a style that began to develop in the nineteenth century, that of",Paragraph
"metallic architecture. With the use of metal, and of concrete reinforced by",Paragraph
"metal bars, madern builders could equal the most daring feats of Gothic",Paragraph
architects without endangering the solidity of the structure. In the conflict,Paragraph
"that obtains between the two elements of construction, solidity and open",Paragraph
"space, everything seems to show that the principle of free spaces will prevail,",Paragraph
that the palaces and houses of the future will be flooded with air and light.,Paragraph
Thus the formula popularized by Gothic architecture has a great future,Paragraph
before it. Following on the revival of Greeco-Roman architecture which,Paragraph
"prevailed from the sixteenth century to our own day, we shall see, with the",Paragraph
"(full application of different materials, a yet more enduring rebirth of the",Paragraph
"Gothic style. Lo ,",Paragraph
Sic the middle of the eighteenth century there have been,Paragraph
recurrent attempts to achieve and to impose a controlling style in,Paragraph
"architecture such as existed in the earlier epochs of the past, The",Paragraph
two chief of these attempts were the Classical Revival and the.,Paragraph
Medizval Revival. Out of the compromises between these twe—,Paragraph
opposing schools and the difficulties of reconciling either sort of,Paragraph
revivalism with the new needs and the new methods of constnic-,Paragraph
tion of the day grew the stylistic confusion of the last hundred,Paragraph
years. .,Paragraph
The nineteenth century failed to create a style of architecture,Paragraph
because it was unable to achieve a general discipline of structure,Paragraph
and of design in the terms of the day. The revived “styles” were,Paragraph
"but. a decorative garment to architecture, not the interior princi-",Paragraph
ples according to which it lived and grew. On the whole the de-,Paragraph
velopment of engineering in building went on regardless of the.,Paragraph
Classical or Medieval architectural forms which were borrowed,Paragraph
from the past. Thus the chaos of eclecticism served to give the,Paragraph
very idea of style a bad name in the estimation of the first modern,Paragraph
architects of the end of the nineteenth and the beginning of the,Paragraph
twentieth century. |,Paragraph
"In the nineteenth century there was always not one style, but",Paragraph
"“styles,” and the idea of “styles” implied a choice. The individu-",Paragraph
alistic revolt of the first modern architects destroyed the prestige,Paragraph
"of the “styles,” but it did not remove the implication that there",Paragraph
was a possibility of choice between one zsthetic conception of .,Paragraph
design and another. In their reaction against revivalism these,Paragraph
men sought rather to explore a great variety of free possibilities.,Paragraph
"The result, on the whole, added to the confusion of continuing",Paragraph
"eclecticism, although the new work possessed a general vitality",Paragraph
which the later revivalists had quite lost. The revolt from stylistic,Paragraph
discipline to extreme individualism at the beginning of the twen-,Paragraph
tieth century was justified as the surest issue from an impasse of,Paragraph
imitation and sterility. The individualists decried submission to,Paragraph
fixed esthetic principles as the imposition of a dead hand upon,Paragraph
"the living material of architecture, holding up the failure of the",Paragraph
revivals as a proof that the very idea of style was an unhealthy,Paragraph
Today the strict issue of reviving the styles of the distant past,Paragraph
is no longer one of serious consequence. But the peculiar tradi-,Paragraph
"tions of imitation and modification of the styles of the past, which",Paragraph
eclecticism inherited from the earlier Classical and Medieval,Title
"Revivals, have net been easily forgotten. The influence of the",Paragraph
past still most to be feared is that of the nineteenth century with,Paragraph
its cheapening of the very idea of style. Modern architecture has,Paragraph
nothing but the healthiest lessons to learn from the art of the fur-,Paragraph
"ther past, if that art be studied scientifically and not in a spirit of",Paragraph
imitation. Now that it is possible to emulate the great styles of the,Paragraph
"past in their essence without imitating their surface, the problem",Paragraph
"of establishing one dominant style, which the nineteenth century",Paragraph
"set itself in terms of alternative revivals, is coming to a solution.",Paragraph
"The idea of style, which began to degenerate when the revivals",Paragraph
"destroyed the disciplines-of the Baroque, has become real and",Paragraph
fertile again. Today a single new style has come into existence.,Paragraph
The zsthetic conceptions on which its disciplines are based de-,Paragraph
rive from the experimentation of the individualists. They and not,Paragraph
the révivalists were the immediate masters of those who have,Paragraph
"created the new style. This contemporary style, which exists",Paragraph
"throughout the world, is unified and inclusive, not fragmentary",Paragraph
and contradictory like so much of the production of the first gen-,Paragraph
eration of modern architects. In thelast decade it has produced,Paragraph
N |,Title
"sufficient monuments of distinction to display, its validity and its",Paragraph
vitality. It may fairly be compared in significance with the styles,Paragraph
of the past. In the handling of the problems of structure it is re-,Paragraph
"lated to the Gothic, in the handling of the problems of design it is",Paragraph
more akin to the Classical. In the preéminence given to the han-,Paragraph
dling of function it is distinguished from both.,Paragraph
The unconscious and halting architectural developments of,Paragraph
"the nineteenth century, the confused and contradictory experi-",Paragraph
"mentation of the beginning of the twentieth, have been suc-",Paragraph
ceeded by a directed evolution. There is now a single body of,Paragraph
"discipline, fixed enough to integrate contemporary style as a re-",Paragraph
ality and yet elastic enough to permit individual interpretation,Paragraph
and to encourage general growth.,Paragraph
"The idea of style as the frame of potential growth, rather than",Paragraph
"_as a fixed and crushing mould, has developed with the recogni-",Paragraph
tion of underlying principles such as archeologists discern in the,Paragraph
