text,label
BOOK Kenneth Frampton Modern Architecture.pdf,Caption
Introduction,Title
It is indeed unfortunate that human society should,Paragraph
encounter such burning problems just when it has become,Paragraph
materially impossible to make heard the least objection to,Paragraph
the language of the commodity; just when power - quite,Paragraph
rightly because it is shielded by the spectacle from having,Paragraph
to take responsibility for its delirious decisions - believes,Paragraph
that it no longer needs to think; and indeed can no longer,Paragraph
think.+,Paragraph
To attempt to expand on an account of the evolution of the,Paragraph
Modern Movement in architecture at the time of writing is a,Paragraph
contradictory and disturbing experience. While the level of,Paragraph
"professional talent and skill in the field is higher today,",Paragraph
"worldwide, than at any other moment in history, at the",Paragraph
same time the world enters ever more deeply into a,Paragraph
"confused state of total political paralysis, so much so that",Paragraph
one is reluctantly drawn to conclude that the human species,Paragraph
no longer has the capacity to act in its own best interests. At,Paragraph
"the micro-level, the techno-scientific division of labour is",Paragraph
such that we are able to penetrate ever more deeply into,Paragraph
"the mysteries of nature, but simultaneously we are the",Paragraph
perennial victims of a triumphant globalized capitalism,Title
"through which, at the macro-level, we are locked in a titanic",Paragraph
"struggle with a rebarbative nature, which is now already",Paragraph
beyond our control.,Paragraph
"The impasse of escalating climate change, which was",Paragraph
already a fact when the fourth edition of this history was,Paragraph
"published in 2007, is ever more apparent today as we",Paragraph
encounter the worldwide crisis of democracy and the,Title
accompanying hysteria of populist political reaction. Given,Paragraph
that this was already essentially the state of things at the,Paragraph
"millennium, | have elected to the eliminate the penultimate",Paragraph
chapter of the fourth edition and to expand its content into,Paragraph
"a new Part IV, under virtually the same title, ‘World",Paragraph
"Architecture and the Modern Movement’. Accordingly, the",Paragraph
"last chapter of the fourth edition, entitled ‘Architecture in",Paragraph
"the Age of Globalization’, has been kept in place as a coda",Paragraph
"to the fifth edition, carrying essentially the same content",Paragraph
save for certain material that has been absorbed into Part,Paragraph
IV.,Paragraph
"| began work on this history in 1970, when the idea of the",Paragraph
Modern Movement was still current on the London,Paragraph
"architectural scene despite the fact that, unknown at the",Paragraph
"time, the term ‘Modern Movement’ (Moderne Bewegung)",Paragraph
had first appeared in Otto Wagner’s book Moderne,Paragraph
Architektur (1896). While the term appears throughout the,Paragraph
"various editions of his book, the title of the last edition, of",Paragraph
