text,label
BOOK Martin Filler Makers of Modern Architecture II.pdf,Caption
Makers of,Title
Modern Architecture,Title
Volume IT,Title
Martin Filler,Title
SEW YORE REY CRW BOS,Title
New Fuel,Title
Introduction,Title
"uke THE Inst VOlume of Makers of Modern Architecture (2007), this",Paragraph
sequel is not intended to be a thoroughgoing history of the building,Paragraph
"art since the beginnings of the Modern Movement, but rather a",Paragraph
series of interpretive studies of some leading architectural,Title
personalities from around the turn of the last century to the present,Title
day. Three figures addressed in the first volume are revisited in,Paragraph
"these pages: Frank Lloyd Wright and Le Corbusier, whose personal",Paragraph
"histories I here discuss in greater detail than in my earlier, more",Paragraph
general overviews. Those two masters share an unchallenged,Paragraph
"position atop the critical hierarchy, and their status seems even",Paragraph
more justified with the passage of time and the support of seemingly,Paragraph
"inexhaustible new scholarship. Conversely, among present-day",Paragraph
architects Renzo Piano continues to be a prolific yet puzzling,Paragraph
designer whose uneven but sporadically superlative output,Paragraph
illuminates the crucial role that sympathetic patronage plays in the,Paragraph
"outcome of a commission, a factor that affects all architects though",Paragraph
seldom as clearly as in his case.,Paragraph
The pieces on which the following chapters are based were all,Paragraph
"initially suggested by some _ topical occasion, including",Paragraph
"anniversaries, awards, newly completed buildings, exhibitions,",Caption
"publications, deaths, or some combination thereof. These events in",Paragraph
turn prompted a variety of responses from me: reconsideration of,Paragraph
widely renowned architects whom I thought merited more accurate,Paragraph
"historical judgment (Stanford White, the Bauhaus group),",Paragraph
reassessment of once-celebrated figures subsequently much less well,Paragraph
"regarded (Edward Durell Stone, James Stirling), reestimation of",Paragraph
canonical reputations rarely called into question (R. Buckminster,Paragraph
"Fuller, Eero Saarinen), recognition of unjustly neglected masters",Paragraph
"(Margarete Schiitte-Lihotzky, Carlo Scarpa), and evaluation of",Paragraph
present-day practitioners with enough completed work to establish,Paragraph
"their relative standing (Rem Koolhaas, Bernard Tschumi).",Paragraph
If there is one recurrent theme that unites all these essays it is the,Paragraph
central role that character and personality play in the creation of,Paragraph
"architecture, not altogether surprising given that this is the most",Paragraph
public of art forms and thus inevitably indicative of the social values,Paragraph
"of its sponsors. The ways in which designers conceive, rationalize,",Paragraph
"develop, explain, execute, and promote their works are as varied as",Paragraph
"the commissions they receive, but their goal is always the same: to",Paragraph
persuade others to have faith in their sometimes improbable visions,Paragraph
and their ability to bring them to fruition. Even for the greatest,Paragraph
"master builders, the pursuit of their art is a never-ending series of",Paragraph
"confrontations and challenges, accommodations and compromises,",Paragraph
"imposed by the needs (or desires) of clients, financial limitations,",Paragraph
"legal requirements, and countless other factors that constrain",Paragraph
architects to a greater extent than their counterparts in other artistic,Paragraph
"mediums. Added to those impediments, the larger, inexorable forces",Paragraph
of politics and economics always have an enormous effect on the,Paragraph
"profession, whether or not its exponents are politically engaged",Paragraph
(although designers who work in the public sphere should always,Paragraph
"expect that their efforts will have direct social implications and, on",Paragraph
"occasion, unpleasant repercussions).",Paragraph
The greatest architectural disjunction of the twentieth century,Paragraph
"was caused by the rise of Hitler, a failed painter and architectural",Paragraph
aspirant whose hatred of Modernism in all mediums brought an,Paragraph
abrupt end to Germany’s primacy as an incubator for artistic,Paragraph
innovation. Hitler’s maniacal anti-Semitism of course most,Paragraph
immediately affected the numerous Jewish designers and clients,Paragraph
who were in the forefront of the new architecture. But the,Paragraph
repressive culture of Nazism affected non-Jews as well. Among the,Paragraph
foremost exponents of the new architecture and urbanism whose,Paragraph
"careers were destroyed, derailed, displaced, or at the very least long",Paragraph
"delayed by the Dozen-Year Reich were two gentiles: Ernst May,",Paragraph
impresario of Frankfurt’s phenomenal social-housing campaign of,Paragraph
"the 1920s and early 1930s, and one of his chief collaborators, the",Paragraph
Viennese architect Margarete Schiitte-Lihotzky.,Caption
"Even before Hitler took power, the global economic depression",Paragraph
"prompted May, Schiitte-Lihotzky, and many other Modernists to",Paragraph
"work for the Soviet government, one of the world’s few large-scale",Paragraph
architecture patrons during Stalin’s initial Five-Year Plan of 1928-,Paragraph
1932. This association alone disqualified the leftist May and the,Paragraph
"Communist Schtitte-Lihotzky from work under the Nazis, yet they",Paragraph
fared little better with the Soviets. Members of the “May Brigade”,Paragraph
who stayed on in the USSR after their boss left in 1933 in some,Paragraph
"cases faced imprisonment, and their Russian colleagues were",Paragraph
"executed. May, who was publicly denounced by the Nazi",Paragraph
"propaganda minister, first found refuge in British-controlled Kenya,",Paragraph
but during the Mau Mau uprising of the early 1950s returned to,Paragraph
Germany where he finally resumed his role as a city planner during,Paragraph
"his homeland’s massive postwar reconstruction. On the other hand,",Paragraph
"Schiitte-Lihotzky, who joined the anti-Nazi resistance following the",Paragraph
"Anschluss, found it difficult to find work in Austria after the war",Paragraph
because of her continued allegiance to communism in nominally,Paragraph
neutral Austria.,Paragraph
Recent research has also shed a harsher light on the attitudes and,Paragraph
activities during World War II of the Swiss-French architect Le,Paragraph
"Corbusier, who turns out to have been more avid and successful in",Paragraph
trying to gain work from France’s Nazi-puppet Vichy government,Paragraph
"than had been previously known. On the other hand, Le Corbusier’s",Paragraph
younger Brazilian contemporary and admirer Oscar Niemeyer saw,Paragraph
his professional prospects in the United States effectively wrecked,Paragraph
"by his membership in the Communist Party, which he joined in",Paragraph
"1945, just in time for the advent of McCarthyism and the denial of",Paragraph
American entry visas to artists with leftist affiliations or even,Paragraph
sympathies.,Paragraph
Economic shifts and downturns can displace architects just as,Paragraph
"surely as putsches, coups, revolutions, and rebellions. In fulfillment",Paragraph
"of Daniel Burnham’s irrefutable exhortation “first, get the job”—1ule",Paragraph
number one in an artistic medium that demands a patron before the,Paragraph
creative act can begin in earnest—architects have always had to go,Paragraph
where the work is. Gian Lorenzo Bernini’s arduous 1665 transalpine,Caption
carriage journey from Rome to Paris was prompted by the prospect,Paragraph
"of expanding the Palais du Louvre for Louis XIV, which, despite the",Paragraph
"ample papal patronage this artistic polymath enjoyed back home,",Paragraph
seemed to be an offer he could not refuse. Arguably the first,Paragraph
"international architectural celebrity, Bernini was greeted along the",Paragraph
way by crowds that sporadically lined his route. But his,Paragraph
flamboyantly Baroque project was ultimately rejected—Claude,Paragraph
Perrault’s more reserved Classical design would be executed instead,Paragraph
