text,label
BOOK Martin Filler Makers of Modern Architecture III.pdf,Caption
Makers of Modern Architecture,Title
Volume IIT,Title
Martin Filler,Title
NEW YORK REVIEW BOOKS,Title
nyrb,Title
New York,Title
Introduction,Title
"SINCE THE 1980S, when I began writing the essays that comprise my Makers",Paragraph
"of Modern Architecture, of which this is the third volume, the building art",Paragraph
has undergone such a thoroughgoing transformation that it would be largely,Paragraph
unrecognizable to most of the figures included in this open-ended series of,Paragraph
"career assessments. This should not be surprising, given that the oldest of",Paragraph
"my subjects, Frederick Law Olmsted, was bom nearly two centuries ago",Paragraph
"(one indication that the Modern Movement in architecture, of which he was",Paragraph
"an important precursor, has long become a historical development).",Paragraph
"However, the most extreme changes have occurred during the three decades",Paragraph
when these texts were originally published in The New York Review of,Paragraph
Books. Technological advances that emerged during that period in,Paragraph
architecture are no less remarkable than those from horse-drawn vehicles to,Paragraph
"space travel, handwritten communications to electronic media, or",Paragraph
phrenology to gene therapy.,Paragraph
"For example, although there are striking formal similarities between the",Paragraph
"work of two major figures discussed in this volume, Antoni Gaudi and",Paragraph
"Frank Gehry—both of whom designed idiosyncratic, biomorphic structures",Paragraph
wholly at odds with the predominantly rectilinear rule of Western,Paragraph
architecture since Classical antiquity—the means by which they realized,Paragraph
their heterodox visions could not have been more different. Gaudi drew on,Paragraph
millennia of ingenious fabrication techniques indigenous to his native,Paragraph
"Catalan region, a tradition that began with Roman colonists but remained",Paragraph
localized until the nineteenth century and the international dissemination of,Paragraph
"those techniques by an older compatriot of his, Rafael Guastavino. The",Paragraph
execution of Gaudi’s marvelously bizarre designs also depended on the,Paragraph
"availability of cheap artisanal labor, for although the architect plotted his",Paragraph
innovative structures with an exceptional but largely intuitive knowledge of,Paragraph
"engineering, he still needed the help of skilled craftsmen, who were often",Paragraph
"required to improvise onsite adjustments that no amount of forethought, in",Paragraph
"those low-tech times, could have anticipated.",Paragraph
"Gehry, in contrast, ingeniously co-opted computer software devised for",Paragraph
the aviation industry to plot the increasingly irregular forms of his,Paragraph
"buildings, a conceptual masterstroke that opened a new universe of",Paragraph
architectural design for him and an emergent generation of coprofessionals.,Paragraph
But the technical innovations of the past three decades have not been,Paragraph
limited to the digital realm and include a host of new building materials,Paragraph
"once undreamed of, such as translucent concrete that transmits light through",Paragraph
"load-bearing walls, powerful adhesives that enable the installation of huge",Paragraph
"windows without intrusive mullions, and biodegradable plastics as strong as",Paragraph
aluminum but half its weight. And although natural methods of passive,Paragraph
climate control have been part of vernacular building traditions since time,Paragraph
"immemorial, the LEED (Leadership in Energy and Environmental Design)",Title
"rating system of the United States Green Building Council—a private,",Paragraph
nonprofit architectural sustainability group founded in 1993—has promoted,Paragraph
a wide array of energy-conservation strategies that have profoundly,Paragraph
changed business-as-usual attitudes toward the issue of climate change.,Paragraph
"As with the two preceding installments of this series, the chapters in this",Paragraph
"volume are arranged more or less chronologically, by the subject’s date of",Paragraph
birth or the approximate order in which she or he rose to prominence. And,Paragraph
although none of these books purports to be a full-fledged narrative of,Paragraph
"modern architecture, taken as a whole they offer a veritable mosaic of the",Paragraph
profession’s major protagonists from the mid-nineteenth century to the,Paragraph
present day. There are several notable reappearances here. Frank Lloyd,Paragraph
"Wright, a figure of fathomless depth to scholars and perennial interest to the",Paragraph
"general public, appears in all three volumes, a sign of his unparalleled place",Paragraph
in the American architectural pantheon. Renzo Piano likewise is included in,Paragraph
"each book, although that has had more to do with his having commanded so",Paragraph
"many of the most coveted cultural commissions of the past thirty years,",Paragraph
when he has reigned as the world’s most prominent designer of performing-,Paragraph
and visual-arts buildings. (Le Corbusier—more important in the global,Paragraph
picture than either Wright or Piano—was in Volumes [ and II.),Paragraph
"Two chapters, in Volume I and the present collection, are devoted to",Paragraph
"Louis Kahn, who, along with Robert Venturi and Denise Scott Brown",Paragraph
"(discussed in Volume I) and Gehry (Volumes I and IID, can be safely cited",Paragraph
as the most significant American architects in the six decades since,Paragraph
Wright’s demise. Also in both the first and third volumes are estimations of,Paragraph
"the work of David Childs and Santiago Calatrava, whose headline-making",Paragraph
schemes at New York’s Ground Zero gave them extraordinary visibility,Paragraph
during the decade and a half that it took them to execute those projects. As,Paragraph
"with its two predecessors, the components of this book were prompted by a",Paragraph
"variety of topical occurrences, including the completion of culturally",Paragraph
significant public buildings (such as Piano’s addition to Kahn’s Kimbell Art,Paragraph
Museum in Fort Worth and Gehry’s Fondation Louis Vuitton in Paris); the,Paragraph
"emergence of new structural forms (the super-tall, super-thin condominium",Paragraph
towers that began to appear in Midtown Manhattan during the second,Paragraph
decade of the new millennium); major museum exhibitions (including,Paragraph
"retrospectives on Wright, the Wiener Werkstatte, and Gehry); and, as",Paragraph
"always at a paper devoted to reviewing books, new architectural",Paragraph
publications.,Paragraph
In recent years many of those have been monographs that focus on,Paragraph
architects of a half-century earlier whose heyday was followed by a period,Paragraph
of posthumous obscurity. This often happens when tastes and fashions,Paragraph
"change, and it falls to a younger generation of scholars to look with fresh",Paragraph
"eyes at buildings that can seem embarrassingly dated. In Volume II, I",Paragraph
"discussed the revival of interest in Eero Saarinen and Edward Durell Stone,",Paragraph
and the renewed enthusiasm for what is now known as Midcentury Modern,Paragraph
"continues in this collection with similar reevaluations of Paul Rudolph,",Paragraph
"Minoru Yamasaki, and their many contemporaries whose tough-looking",Paragraph
concrete structures earned them the label of New Brutalists. Even the,Paragraph
developer-built suburban housing tracts that so altered the postwar character,Paragraph
of middle-class American habitation have lately been the beneficiary of,Paragraph
scholarly analyses referred to in these pages.,Paragraph
Such studies are often undertaken by graduate students in search of,Paragraph
"unclaimed dissertation topics, but apart from that impetus there is always",Paragraph
good reason to reexamine the merits of discredited or neglected architecture,Paragraph
"after contemporary prejudices subside. However, in reconsidering the fifty-",Paragraph
"five chapters of this series, it now seems to me that the most fascinating",Paragraph
rediscoveries are not of postwar male architects but rather of women,Paragraph
architects who managed not only to prevail but to excel in a profession that,Paragraph
remained so adamantly male-dominated and openly misogynistic for most,Paragraph
of the twentieth century. The most notable example of such myopia—to,Paragraph
give this habitual omission its most charitable definition—was the absence,Paragraph
of Lina Bo Bardi from the canon of indispensable twentieth-century,Paragraph
"architects, and even the most cursory overview of her accomplishment",Paragraph
indicates that she would have long enjoyed her current high critical status,Paragraph
were she a man.,Paragraph
"In general, the prospects of women entering architectural practice today",Paragraph
"are much improved in comparison with those thirty years ago, to say",Paragraph
"nothing of sixty, when even the leading female figures in the profession",Paragraph
"were routinely subjected to discrimination and harassment. Natalie de Blois,",Paragraph
"for example, who died in 2013 at the age of ninety-two, was among the few",Paragraph
women of her generation to reach the highest echelons of architectural,Paragraph
"practice in this country. Blois, who as a senior partner at Skidmore, Owings",Paragraph
& Merrill helped design several of the firm’s most noteworthy buildings of,Paragraph
"the 1950s and 1960s, was fired from an earlier job because she rejected a",Paragraph
"male superior’s sexual overtures. But even at SOM, the period’s paradigm",Paragraph
"of corporate architectural culture, she had to endure repeated humiliations,",Paragraph
such as being excluded from meetings with prospective clients and from,Paragraph
group photographs with her male colleagues. When Blois was pregnant,Paragraph
"with one of her three children, Gordon Bunshaft, the firm’s cantankerous",Paragraph
"design principal (“He took all the credit and she did all the work,” as one",Paragraph
"feminist advocate has explained their collaborative dynamic), told her that",Paragraph
she should not attend the opening of a corporate headquarters they’d,Paragraph
worked on together if she had not given birth by then.,Paragraph
"Although social mores may change in the short term, human nature rarely",Paragraph
does in any significant manner. Thus I believe that the specifically personal,Paragraph
"approach I have taken in these essays, far from reinforcing a discredited",Paragraph
"Great Man approach to history, helps to explain the inner workings of an art",Paragraph
that has become increasingly mysterious to the general public since the,Paragraph
professionalization of building design began during the second half of the,Paragraph
"nineteenth century. To be sure, for millennia the construction industry",Paragraph
"remained very much a closed shop, with knowledge of the building art",Paragraph
jealously guarded as a trade secret transmitted by familial dynasties or trade,Paragraph
guilds intent on monopolizing lucrative sources of income. Yet to a far,Paragraph
"greater extent than was possible in the Industrial Age, the lay public in",Paragraph
premodern times could closely observe the building process and gain some,Paragraph
"understanding of its nature, or even, as with the scores of cathedrals erected",Paragraph
"throughout Christendom during the Middle Ages, directly participate in the",Paragraph
creation of a monument used by the entire community.,Paragraph
No wonder that this lost ideal of social integration was invoked by,Paragraph
"Modernist architects in the immediate aftermath of World War I, most",Paragraph
"movingly by the founders of the Bauhaus, the cover of whose founding",Paragraph
manifesto of 1919 was decorated with Lyonel Feininger’s Expressionist,Paragraph
"woodcut Kathedrale. (Indeed, the very name of this multidisciplinary",Paragraph
design school has echoes in the word Bauhtitte—a builder’s lodge adjacent,Paragraph
"to those great medieval churches, the equivalent of the far less",Paragraph
prepossessing job-manager’s trailers we now see on modem construction,Paragraph
"sites.) Overall, though, the social aspects of architecture today are quite",Paragraph
"different from those of earlier epochs, and have depended much more on",Paragraph
"the interpersonal relations between architect and client than, say, those",Paragraph
between master mason and clerical hierarchy.,Paragraph
At the heart of this customary imbalance of architectural power—the,Paragraph
perpetual tug-of-war between economic necessity and artistic desire—lies,Paragraph
the basic fact that nothing can get built unless someone agrees to pay for it.,Paragraph
"Although distinguished architects of the modern period, from the Adam",Paragraph
"brothers in the eighteenth century onward, have been able (given the",Paragraph
financial backing of others) to create structures that can be sold on,Paragraph
speculation—most often residences but also office buildings—the,Paragraph
profession for the most part remains in the thrall of patronage. Except for a,Paragraph
"recent increase in design/build architects, who act as their own contractors",Paragraph
"and developers, there has been no widespread change equivalent to the one",Paragraph
that began with the rise of a middle-class market for paintings in,Paragraph
"seventeenth-century Holland, which removed the creation of art from",Paragraph
complete dependency on princely patronage.,Paragraph
"The ability, indeed the necessity of architects to convince others to",Paragraph
"employ them—whether on the basis of their social insight (Olmsted, Bo",Paragraph
"Bardi), otherworldly spirituality (Gaudi, Kahn), extraordinary charm",Paragraph
"(Calatrava, Rafael Vifioly), political ideology (Albert Speer, Gerdy Troost),",Paragraph
"or technological expertise (Frei Otto, Piano), to name just several of the",Paragraph
practitioners I discuss in this book—cannot be discounted as an integral,Paragraph
component of their exceptional success. Highly developed social skills can,Paragraph
"propel architects of mediocre artistic ability to great heights, as was",Paragraph
"demonstrated by the stellar careers of Philip Johnson and I. M. Pei, neither",Paragraph
of whom was a very talented designer.,Paragraph
"Conversely, a lack of what’s known colloquially as “people skills” can",Paragraph
doom even the most gifted professional. When I served as an adviser on an,Paragraph
"architectural search committee in the early 2000s, I watched in dismay as",Paragraph
the perfect person for the job lost the commission by never once,Paragraph
establishing eye contact with his potential clients as he gave his,Paragraph
"presentation. Instead he talked right over their heads, which one member of",Paragraph
that committee cited as the determining reason not to hire him. In one-on-,Paragraph
"one situations this architect can be delightfully engaging, but his tendency",Paragraph
to seem remote and aloof in more formal settings is at painful odds with,Paragraph
"such virtuosos of the client pitch as Piano, whose lyrical evocations of",Paragraph
architecture as the noblest of human endeavors have likely won him as,Paragraph
many projects as his lengthy roster of superbly executed buildings.,Paragraph
"Yet no matter how high-minded they may be, all architects know that if",Paragraph
"they do not have a client, they do not have a building. (Gaudi coped with",Paragraph
the countless human vicissitudes that hampered the progress of his,Paragraph
"masterwork, the church of the Sagrada Familia, by insisting that “God is my",Paragraph
