text,label
BOOK Martin Filler Makers of modern architecture I.pdf,Caption
Makers of,Title
Modern Architecture,Title
Michael 7. Wise. and Win de Wit Hogh Fakin ot Tbe Net York Ret rere,Caption
Wasa paragon of collegiahey in sharing with me presioush unpub,Paragraph
"lished intormation about the legal troubles of the J. Paul Geety Trust,",Paragraph
"on which he has ceported with distinction tar Phe Neto York Drntes,",Paragraph
"Pedro 1. Guerrero, Frank Plosd Wright's offical photegrapher",Caption
has touched me deeply by allowing his retarkable ry § 3 portraits of,Paragraph
the vreatest of Amerwan architects to be used ter the dust packer a,Paragraph
Personal accolade that sets a capstone on our long and much-valwed,Paragraph
"trendship, For three decades, Duane Michals. a great artist and cher:",Paragraph
"ished trend, has made portraits of my tamuly and me ta commeme",Paragraph
rate mayor landmarks i aur lives. Here his author's photo once again,Paragraph
Manitests the magnaninuc ot bts vision. Nathaniel Bletter was a,Paragraph
tremendous help in setung up the index and wath other Computer:,Paragraph
related matters.,Paragraph
"Lowe an trredeemable debt ot practude toms wite, Rosemarie Haag",Caption
"Bletter, who has influenced my thinking about architecture more than",Paragraph
"anvone. During our thirty vears together her depth of knowledge,",Paragraph
"acuity of percepoon, soundness of judgement. equanimity of rempera",Paragraph
"ment, and deliious sense ot humor have enriched ms dite bevend all",Paragraph
"measure, Without hee intellectual generosin, unthlagging encourare",Paragraph
"ment, steadtast lowalty, and incomprehensible forbearance, DP could",Paragraph
"never have produced this bods of work, which Preckom my finest. and",Paragraph
"otter to her with devotron and dove, “als Werbegrias memier Drew",Paragraph
Martin Filler,Title
New York,Title
hebruary sc. noc,Paragraph
Introduction,Title
"ALL HISTORIES ARE destined to become dated sooner or Liter, bur dure",Paragraph
ing the weenneth centur books dealing with the Modern Movement,Paragraph
"in-architecture became obsolete especially quickly, This retlecred the",Paragraph
catachsimie chanues thar swept through the architectural protession,Paragraph
with gathering speed during the century and a quarter begenming. on,Paragraph
"the r&Scs—rhe decade when the Arse great Amerwan Modermst,",Paragraph
"Louw Sullivan. began hos career, and when the first generation of",Paragraph
Luropean Modernist masters was born,Paragraph
"This book wonot a histors ot Modern architecture, but rather a",Paragraph
sequeme of cultural and aesthetn studies of some leading feures in,Paragraph
the budding art acove during the lare-nineteenth theouph the early-,Paragraph
"owents firstcenturtes, Nor does ieconsatute my “top ow eng © list, tor",Caption
"although all ot these architects have exerted noteworthy influence,",Paragraph
"several ot chem, inom opinion, have been anvehing bet benetoral te",Paragraph
the wause of Modern architecture at is most intelle ually clewated,Paragraph
ant humants Fesponsne,Title
"Saliless isis approach an endorsemeatet the Great Man Dheary,",Paragraph
"to Which T de not subscribe. Asa criti far more than thirty sears,",Paragraph
[have gained anointimiate perspectioue on hows architeetuial frais of,Paragraph
various kinds work) -tram the ways in which they get comm sions to,Paragraph
the strugules and compromises internal as well as external endemic,Paragraph
to the profession at every level The only common denommator |,Paragraph
have found among these firms has been the collaborative nature of,Paragraph
the architectural design process. no matter what the purported divs,Paragraph
"sion of labor, though the long standing tendency for a firm’s urular",Paragraph
head or principal partners to wet sole credit tor whatis always a group,Paragraph
"ettert ms onthe rise. Nonetheless, throughout the history ot the build",Paragraph
Ing art. certain figures have made contribucons so singular that our,Paragraph
"vontiaued attention to them remains merited,",Paragraph
"Tsubseribe to no overarching philosophy or theory of architeccure,",Paragraph
apart fromimy convicnen that what a souery butlds mirrors its salves,Paragraph
more clearly than any other physical objects; and the chapters af this,Paragraph
"book, which hegan as essays written over a span of twenty vears, tetlect",Paragraph
contemporary concerns ne dess than a budding does. During the Last,Paragraph
"quarter of the owentieth century, many avant garde architects, educa-",Paragraph
"tors, and thearses exhibited what now seems an extreme preaccupa-",Paragraph
tion with the bestors of savde: net pust a renewed interest in Cradinenal,Paragraph
"motits disdained by orthodox Modernism, but a strange certitude that",Paragraph
one histoneal phase had definitively caded and another-—rermed Post-,Paragraph
modernism—had begun. Such self-Conscrousness appeared preposter-,Paragraph
"ous even atthe time, especially when it was claumed that new Post",Paragraph
"modernise buildings embodied the renucus theories that inspired them,",Paragraph
"To be sure, atter World War] the proncering advocates of the Mad-",Paragraph
er Mosement bad alse declared thar the building art was gomg,Paragraph
"through an epochal break, nothing less than the end of history ina lire",Paragraph
"eral sense, because they believed that eternal architectural pertecuon",Paragraph
had at last been attained. The torgotten Cor suppressed: truth about,Paragraph
Modernism was that the radial new forms of architecture and,Paragraph
urbatisniits peactiooners advocated were only parts of broad and,Paragraph
highly detailed agendas tor the reform ot hte in everything trom cco:,Paragraph
nomigs and poliogs to spirituality and class equality. Far trom being,Paragraph
"aomonohthi desclapment, the new architecture responded to local",Paragraph
condinons more than it adhered to the restrcted range at charac-,Paragraph
teristics thac Ameriean polemicists codified and dubbed the Inter:,Paragraph
national Style. aterm by no means synonymous with the Modern,Paragraph
Movement.,Paragraph
