text,label
BOOK Nikolaus Pevsner Pioneers of Modern Design.pdf,Caption
Nikolaus Pevsner,Title
PIONEERS OF,Title
MODERN DESIGN,Title
FROM,Title
WILLIAM MORRIS,Title
TO,Title
WALTER GROPIUS,Title
Penguin Books,Title
1 - Theories of Art from Morris to Gropius,Title
"‘ORNAMENTATION’, says Ruskin, ‘is the principal part of architec-",Paragraph
"ture,’ It is that part, he says in another place, which impresses on a",Paragraph
"building ‘certain characters venerable or beautiful, but otherwise un-",Paragraph
necessary’. Sir George Gilbert Scott amplified this surprising statement,Paragraph
"when he recommended to architects the use of the Gothic style, because",Paragraph
"its ‘great principle is to decorate construction’,}",Paragraph
How this basic doctrine of nineteenth-century architectural theory,Title
worked out in practice could not be shown more convincingly than by,Paragraph
"retelling the story of the new British Government offices in Whitehall,",Paragraph
"London, as erected by Scott between 1868 and 1873. The following are",Paragraph
the facts as told by Sir George. His original plans were in the Gothic,Paragraph
style. He writes: ‘I did not aim at making my style ‘Italian Gothic”;,Paragraph
"my ideas ran much more upon the French, to which for some years I",Paragraph
"had devoted my chief study. I did, however, aim at gathering a few hints",Paragraph
from Italy . . . I mean a certain squareness and horizontality of outline,Paragraph
"... I] combined this . . . with gables, high-pitched roofs and dormers.",Paragraph
"My details were excellent, and precisely suited to the purpose.’ In spite",Paragraph
"of this, Scott did not win the first prize in the competition, partly be~",Paragraph
cause Lord Palmerston thoroughly disliked medieval styles. Scott com-,Paragraph
"ments: ‘I did not fret myself at the disappointment, but when it was",Paragraph
"found, a few months later, that Lord Palmerston ‘had coolly set aside",Paragraph
"the entire results of the competition, and was about to appoint Penne-",Paragraph
"thorne, a non-competitor, I thought myself at liberty to stir.’ And stir",Paragraph
"he did, so that in the end he was appointed architect to the new building.",Paragraph
"However, he was not able to dissuade the Government from its pre-",Paragraph
dilection for the Italian Renaissance. What followed was described by,Paragraph
Lord Palmerston as the battle of the Gothic and Palladian styles. He,Paragraph
saw no insurmountable difficulty. He sent for Scott and told him ‘in a,Paragraph
"jaunty way that he could have nothing to do with the Gothic style, and",Paragraph
"that,’ continues Scott, ‘though he did not want to disturb my appoint-",Paragraph
"ment, he must insist on my making a design in the Italian style, which",Paragraph
"he felt sure I could do quite as well as the other’, Lord Palmerston was",Paragraph
"evidendy right, for, after long arguments, Scott promised ‘an Italian",Paragraph
design’. But he still hoped that Renaissance could be avoided. He,Paragraph
"altered the front of his building, and now it was ‘in the Byzantine of",Paragraph
the early Venetian palaces . . . toned into a more modern and usable,Paragraph
"form’. In vain, for the Prime Minister wanted ‘the ordinary Italian’,",Paragraph
and he would have it. He called the new plans ‘neither one thing nor,Paragraph
"vother — a regular mongrel affair’, and threatened to cancel Scott’s",Paragraph
"appointment. After that, for the sake of his family and his reputation,",Paragraph
Sir George ‘in sore perplexity’ decided to ‘swallow the bitter pill’.,Paragraph
He ‘bought some costly books on Italian architecture and set,Paragraph
vigorously to work’ to invent an Italian facade ‘beautifully got up in,Paragraph
outline’.®,Paragraph
The campaign of William Morris’s lifetime was directed against the,Paragraph
complete lack of feeling for the essential unity of architecture which,Paragraph
made this comedy possible. When his impressionable nature began to,Paragraph
"react on buildings, fine art, and industrial art, almost all contemporary",Paragraph
"building which surrounded him, as a youth in London and as a student",Paragraph
"at Oxford, and practically all industrial art was crude, vulgar, and over-",Paragraph
loaded with ornament. Examples will be given later. Responsible for,Paragraph
this state of affairs were the Industrial Revolution and — less known but,Paragraph
equally important — the theory of aesthetics created since 1800. ‘lhe,Paragraph
part played by the Industrial Revolution is to be discussed in Chapter 2.,Paragraph
"It is sufficient here to say that manufacturers were, by means of new",Paragraph
"machinery, enabled to turn out thousands of cheap articles in the same",Paragraph
time and at the same cost as were formerly required for the production,Paragraph
of one well-made object. Sham materials and sham techniques were,Paragraph
"dominant all through industry. Skilled craftsmanship, still so admirable",Paragraph
"when Chippendale and Wedgwood were at work, was replaced by",Paragraph
"mechanical routine. Demand was increasing from year to year, but",Paragraph
"demand from an uneducated public, a public with either too much",Paragraph
money and no time or with no money and no time.,Paragraph
"The artist withdrew in disgust from such philistinism or squalor, It",Paragraph
was not for him to condescend to the taste of the majority of his fellow-,Paragraph
"men, to meddle with the ‘Arts Not Fine’. During the Renaissance,",Paragraph
"artists had first learned to consider themselves superior beings, bearers",Paragraph
of a great message. Leonardo da Vinci wanted the artist to be a scientist,Paragraph
"and a humanist, but by no means a craftsman. When Michelangelo was",Paragraph
asked why he had portrayed one of the Medicis in the Medici Chapel,Paragraph
"beardless, though he had worn a beard in life, he answered: ‘ Who, in",Paragraph
"a thousand years, will know what he looked like?’ However, this attitude",Paragraph
of artistic presumption remained exceptional until the end of the eight-,Paragraph
eenth century. Schiller was the first to form a philosophy of art which,Paragraph
made the artist the high priest in a secularized society. Schelling took,Paragraph
"this up, and Coleridge, Shelley, and Keats followed. Poets, according",Paragraph
"to Shelley, are ‘the unacknowledged legislators of the world’. The artist",Paragraph
