text,label
BOOK Nikolaus Pevsner.pdf,Caption
Introduction,Title
Where lie the sources of the twentieth century ? Sources bespeak,Paragraph
"a stream, then a river, and finally, in our particular case, the",Paragraph
ocean of the International Style of the 1930s. Do Prometheus,Caption
and the unknown inventor of the wheel stand by the source as,Paragraph
"the genii fontis? No; because there are breaks, and our civiliza-",Paragraph
tion is not connected with that distant past by a continuous flow.,Paragraph
"But even if we admit that civilizations ‘rise and fall, crumble,",Paragraph
"are extended, Are renewed, destroyed’, even if we keep within",Paragraph
"Western civilization, are the sources of the twentieth century",Paragraph
then the invention of clocks with wheels and weights and of,Paragraph
printing with movable type? They are; for without printing,Paragraph
and clocking-in there could be no twentieth century. Mass,Paragraph
communication and mass production are among the things,Paragraph
"distinguishing ours from all preceding centuries. However, it",Paragraph
is only the quantitative exploitation which belongs exclusively,Paragraph
"to us, not the invention itself. And that is indeed a phenomenon",Paragraph
to rank high in force among the sources of the twentieth century,Paragraph
and therefore of modern art.,Paragraph
The twentieth century is the century of the masses: mass,Paragraph
"education, mass entertainment, mass transport, universities with",Title
"twenty thousand students, comprehensive schools for two",Title
"thousand children, hospitals with two thousand beds, stadia",Caption
with a hundred thousand seats. That is one aspect; the other is,Paragraph
"speed of locomotion, every citizen being an express-train driver",Paragraph
"on his own, and some pilots travelling faster than sound. Both",Paragraph
"are only expressions of the technological fanaticism of the age,",Paragraph
and technology is only an application of science.,Paragraph
"Science, technology, mass locomotion, mass production and",Title
"consumption, mass communication — in the field of the visual",Paragraph
"arts which is our field in this book, that means the predominance",Paragraph
"of architecture and design over the beaux-arts, it means the",Paragraph
7,Title
"predominance of the city over the small town and the country,",Paragraph
and it means the concentration on architecture and design for,Paragraph
the masses and on what new materials and new techniques can,Paragraph
do for them.,Paragraph
"If this is accepted as a diagram of the twentieth century, so far",Paragraph
"as we can observe and analyse it, where do its sources lie then?",Paragraph
We can now endeavour to list and consider them in their order,Paragraph
of time.,Paragraph
CHAPTER ONE,Title
A Style for the Age,Title
"Architecture and design for the masses must be functional, in",Paragraph
the sense that they must be acceptable to all and that their well-,Paragraph
functioning is the primary necessity. A chair can be uncomfort-,Paragraph
"able and a work of art, but only the occasional connoisseur can",Paragraph
be expected to prefer its aesthetic to its utilitarian qualities. The,Paragraph
plea for functionalism is the first of our sources. Augustus,Paragraph
"Welby Northmore Pugin, born in 1812, the English son of a",Paragraph
"French father, wrote on the first page of his most important",Paragraph
book: ‘There should be no features about a building which are,Paragraph
"not necessary for convenience, construction, or propriety . . .",Paragraph
"The smallest detail should . .. serve a purpose, and construction",Paragraph
itself should vary with the material employed.’! That was,Paragraph
"written in 1841, but it was not new then. It is the direct continua-",Paragraph
tion of the principle of French seventeenth and eighteenth,Title
"century rationalism. Architecture, writes Batteaux,? ‘is not a",Paragraph
"spectacle . . . but a service’, and ‘security, fitness, convenience,",Paragraph
propriety’ are all familiar from Cordemoy to Boffrand and the,Paragraph
"younger Blondel. To quote two less familiar passages, neither",Paragraph
"French: Hogarth called the first chapter of his Analysis of Beauty,",Paragraph
"‘Of Fitness’, starting thus: ‘Fitness of the parts to the design for",Paragraph
which every individual thing is form’d . . . is of the greatest,Paragraph
consequence to the beauty of the whole. . . In ship-building the,Paragraph
dimensions of every part are confin’d and regulated by fitness,Paragraph
"for sailing. When a vessel sails well, the sailors call her a beauty;",Paragraph
"the two ideas have such a connection.’3 And the Abbate Lodoli,",Paragraph
"not uninfluenced perhaps by Hogarth, referred in hisstimulating",Paragraph
conversations to the Venetian gondola as a piece of functional,Paragraph
"design, and stipulated that nothing ought to appear ina building",Paragraph
which is not ‘truly fulfilling its function’ or: ‘has not its own,Paragraph
