text,label
BOOK RStephen Sennott I.pdf,Caption
INTRODUCTION,Title
"In its broad coverage of architecture produced between 1900 and 2000, the provides",Paragraph
"a three-volume, English-language reference work for scholars, professionals, students,",Paragraph
and the general public seeking a basic understanding of interdependent topics that define,Paragraph
"the production of architecture in the developed cities, countries, and regions of the world.",Paragraph
"Seeking the breadth and diversity of any encyclopedic endeavor, the project extends its",Paragraph
coverage beyond the conventional study of prominent architects and their buildings to,Paragraph
address important related facets of 20th-century architectural production that motivate,Paragraph
architects and their clients and give form and meaning to their buildings.,Paragraph
"Arranged in alphabetical order, the entries fall into three broad areas: persons, places,",Paragraph
"and architecture topics. Persons include architects and firms, critics, and historians;",Paragraph
"places include countries and regions, cities, specific buildings and sites, and unbuilt",Paragraph
"projects; architecture topics include materials and building technology, building types,",Paragraph
"stylistic and theoretical terms, schools and movements, architectural practice and the",Title
"profession, and planning. Ranging in length from 1,000 to 4,000 words, each article is",Paragraph
written for the well-informed general reader and signed by an established scholar or,Paragraph
"professional with expertise in the subject. In addition, each architecture topic and places",Paragraph
"entry includes a selected bibliography; each person’s entry includes a capsule biography,",Paragraph
"a list of selected works, and a selected bibliography. The bibliographies consist of",Paragraph
standard works and recent scholarship to enable the student or scholar to expand his or,Paragraph
her research.,Paragraph
This project set out in 1998 in Chicago with the editorial staff of Fitzroy Dearborn,Paragraph
Publishers to shape a broad and inclusive reference work designed to provide description,Paragraph
"and analysis of 20th-century architects, buildings, and places from a global perspective.",Paragraph
"In its review of an enormously inventive century of ambitious architectural production,",Paragraph
the editorial team quickly recognized that the most useful reference work would include,Paragraph
far more than buildings and architects alone. The therefore aims to explain the range,Paragraph
"of technological, professional, and historical factors that the architectural process entails,",Paragraph
from drawings to the completed building. The far-reaching influence of important,Paragraph
"architects, sustainability and new materials, new digital technologies, and global",Title
"proliferation of large-scale building types, for example, has altered the scope of modern",Paragraph
"architectural practice. Moreover, 20th-century architecture profoundly engaged many",Paragraph
"new constituencies, including the general public. In its efforts to provide a broader",Paragraph
"audience with a more inclusive understanding of architectural practice, the project seeks",Paragraph
to frame a vast scope of selected topics that have defined and directed 20th-century,Paragraph
architecture and its consumption worldwide.,Paragraph
"The practice of architecture has become enormously complex, as modern airports and",Paragraph
"skyscrapers make clear. Wherever constructed, a single building requires the design team",Paragraph
"to understand traditional and innovative materials, new construction technologies,",Paragraph
"building types, historic precedent, and related planning needs. Readers of the will",Paragraph
benefit from an understanding of these interconnections. It is the editorial team’s belief,Paragraph
that one strength of this project is the selective inclusion of a diverse range of architecture,Paragraph
subjects rarely examined together with important buildings and their architects. To,Paragraph
"facilitate these connections, the book provides readers with extensive internal cross-",Paragraph
"references in the majority of entries and a comprehensive, analytical index.",Paragraph
International coverage required a variety of critical perspectives from a diverse group,Paragraph
"of scholarly and professional experts. From the start, the task of defining the scope and",Paragraph
content of this project reiterated the complexity of architectural production in the last,Paragraph
hundred years. Consulting for several months with a distinguished international advisory,Paragraph
"board of scholars and architects, architectural historian and volume editor R.Stephen",Caption
Sennott has organized a far-reaching investigation of architecture from all regions of the,Paragraph
world. The final selection of topics found in these three volumes is the result of a long,Paragraph
and careful evaluation of a much longer list of proposed topics.,Paragraph
"To the benefit of this project, the advisory board’s contributions were both",Paragraph
contradictory and consistent in their careful explanations of what should be included or,Paragraph
excluded from these pages. This debate served to balance the book’s perspective and,Paragraph
"content. In short, the principal criteria for inclusion were, first, that the individual or topic",Paragraph
"had had a lasting or formative effect on architecture or, second, that the individual or",Paragraph
topic reinforced the international scope of the encyclopedia. One strength of this,Paragraph
reference work is its deliberate effort to accommodate these differences and,Paragraph
contradictions by including a diverse range of advisors and a balanced variety of expert,Paragraph
writers able to recognize the global character of architectural practice in the 20th century.,Paragraph
"In concert with the advisory board’s recommendations, the book profiles this century’s",Paragraph
vast chronicle of architectural achievements within and well beyond the confines of mid-,Paragraph
"century modernism. Even so, and with apologies to readers who note the absence of a",Paragraph
"subject they hold as significant, it has obviously not been possible to include every",Paragraph
"architect, building, or topic of architectural significance. Indeed, following this",Paragraph
"challenging editorial process, and in light of compelling scholarship of the last 15 years,",Paragraph
it is the editorial team’s collective hope that this project will encourage further study of,Paragraph
"the global, interconnected character of architecture and its production. The encyclopedia",Paragraph
will provide an effective starting point for researchers and readers for years ahead.,Paragraph
"Whatever the risks of this ambitious reference work, an international team of 300",Paragraph
"writers—architectural historians, architects, engineers, preservationists, urban historians,",Paragraph
"critics, and independent scholars—has presented a wide-ranging and critical assessment",Paragraph
"of buildings, architects, cities, and related architecture topics to provide professionals and",Paragraph
