text,label
BOOK RStephen Sennott II.pdf,Caption
"GABR, ALI LABIB 1898-1966",Title
"Architect, Egypt",Title
Ali Labib Gabr belongs to the second generation of Fgypran,Paragraph
"architects, which was provided with significant profeuional op-",Paragraph
portunities by the Egypsianisarion policics adopted after [nde,Paragraph
pendence an 1922. Beudes numerits readential buildings in,Caption
"Cairo and Alexandria (villas and bho of flas), Gabe desygned",Paragraph
"Lange scate housing schemes for mdustrial workers, together wath",Paragraph
"several factunes. hospitals, hotels and institutional buildings. In",Paragraph
"contrat with the catlice generation, Gabt was not cugcerned",Paragraph
with the search for a disunctive “tutional syhe” for Egepe,Paragraph
although some of his buildings may recall the massiveness of,Paragraph
Ancient Egypt architecture. ¢-g. the Lawyers’ Syndicate in Cairo,Caption
(1948). He rather worked at the dultusion of western concempo-,Paragraph
rary forms in the country. Hts awn inclination was rawards a,Paragraph
"moderate modernism, or herter a modem classicism, much in",Paragraph
"kine with the bulk of inter-war architexture in Eusope, particu-",Paragraph
lady Great Britain and France: he was rypically linked m mem-,Paragraph
"bers of the Reunions Internacionales d'Archicectes, the rival orga",Paragraph
nization of the CIAM (Congres Incernutionaua d'Architcceuse,Title
moderne) thar was to gave birth w the [UA (Internatianal Union,Paragraph
of Architects}. However Gabr was indeed much interested in,Paragraph
"Egyptian bentage. other pharsonic or Islamic, ax hus many",Paragraph
sketches of details trom Cairo’s ok quarters ot monuments of,Caption
"Upper Egypt show. When preparing 4 proyect, he 1s also known",Paragraph
to have paid acute artennion to its function and furure uses:,Paragraph
"his work is moreover characterized by remarkable execunon, an",Paragraph
exceptional achievement in the Egyptian context.,Paragraph
"Educated at the Khedsvial school, at the time une of the",Paragraph
"best public schools in Cairo, Gabr graduated in 1920 from the",Paragraph
Architectural Depariment of the Cairo’s Polytechnical School,Paragraph
The same year he was granted a governmental xholarship to,Paragraph
complete his studies at the Liverpool University's School of Ar-,Paragraph
"chitecture, by then the leading one in Britain. Already a talented",Paragraph
"draughtsman, Gabe unpressed much the waching staif during",Paragraph
his 4-years stay there: the working desyos for a large “Repertory,Paragraph
Theatre for Cairo” that he submitced for his chesis in 1924 were,Paragraph
considered as “the bess set ever submutted 0 the school.” by Sir,Paragraph
"Chartes-Herbert Reilly, with whom Gabr was ro stay in contact.",Paragraph
After a tow months of practical training in che offices of the,Paragraph
