text,label
BOOK RStephen Sennott III.pdf,Caption
P,Title
PAIMIO SANATORIUM,Title
Designed by Alvar Aalto and Aino Aalto; completed 1933,Caption
"Paimio, Finland",Title
"The Tuberculosis Sanatorium in Paimio, Finland, the contract won in competition by",Paragraph
"Finnish architects Alvar and Aino Aalto in 1929, completed in 1933, synthesized two",Paragraph
"potent modernist agendas. First, the design embraces modernism’s utopian social",Paragraph
"commitment and its deep confidence in rational design processes. Second, the building",Paragraph
expresses explicitly the elemental organizational tactics of functionalist architecture and,Paragraph
"its concomitant machine imagery. Metaphorically, if Le Corbusier’s Villa Savoye was a",Paragraph
"machine for living in, the Aaltos’ Paimio Sanatorium was a machine for becoming",Paragraph
healthier in.,Paragraph
"Following World War L, avant-garde architects proclaimed the emergence of a spirited",Paragraph
"and vital new, modern age. This was to be a more orderly and healthy age, brought forth",Paragraph
by applying the lessons of modern industrial technique and rational thinking to the,Paragraph
outlived historicism of prewar architecture as well as to the disorder and squalor of,Paragraph
existing urban environments. Rooted in a strong sense of social commitment and relying,Paragraph
"on the effectiveness of serial production and rational processes as design strategies,",Paragraph
"modern architects sought a better, healthier world. The Aaltos’ Tuberculosis Sanatorium",Paragraph
at Paimio was both a symbol of the social role of the new architecture and a potent visual,Paragraph
paradigm of the new world that modern architecture intended to bring into being.,Paragraph
Sun. Light. Fresh air. The physical presence of these natural elements informed the,Paragraph
basis of building design and engendered the qualities of good health associated with,Paragraph
"modernist social thinking. Moreover, as a polemic, sun, light, and fresh air were vital",Paragraph
"images of the modern, healthier world. Few other building types were as convincing a",Paragraph
symbol of modern architecture as was the sanatorium. The actual medical treatment for,Paragraph
"tuberculosis at the time—lots of sun, light, and fresh air—provided a strong image base",Paragraph
for the design of the building and coincided with the metaphor of “health” central to,Paragraph
modernist thought.,Paragraph
The completion of the Paimio Sanatorium acknowledged Alvar Aalto’s prominent,Paragraph
place among the modem architects of the day because it bore witness to his,Paragraph
understanding and mastery of modernism’s social as well as compositional tenets.,Paragraph
"However, the sanatorium was not the Aaltos’ first modernist work. Having fostered",Paragraph
"connections to the international avant-garde in the mid-1920s, they moved their office to",Paragraph
the city of Turku in 1927 and completed two important “functionalist” works.,Paragraph
"“Functionalism” was the term used by Finnish architects to label the new, modern",Paragraph
architecture. The first important work was the Standard Apartment Building in Turku,Paragraph
"(1929), and the second was the Turun Sanomat Newspaper Building (1927), which was",Paragraph
the first work in Finland to incorporate Le Corbusier’s “Five Points of a New,Paragraph
"Architecture,” setting the Aaltos apart from their contemporaries. During this period, the",Paragraph
