text,label
BOOK Reyner Banham.pdf,Caption
Introduction—the machine age,Title
THIS BOOK Was conceived and written in the late years of the Nineteen-,Paragraph
"fifties, an epoch that has variously been called the Jet Age, the Detergent",Paragraph
"Decade, the Second Industrial Revolution. Almost any label that identifies",Paragraph
anything worth identifying in the period will draw attention to some,Paragraph
"aspect of the transformation of science and technology, for these transfor-",Paragraph
"mations have powerfully affected human life, and opened up new paths of",Paragraph
choice in the ordering of our collective destiny. Our accession to almost,Paragraph
unlimited supplies of energy is balanced against the possibility of making,Paragraph
"our planet uninhabitable, but this again is balanced, as we stand at the",Paragraph
"threshold of space, by the growing possibility of quitting our island earth",Paragraph
"and letting dawn roots elsewhere. Again, our explorations into the nature",Paragraph
"of information have made it-possible, on the one hand, to set electronics to",Paragraph
"work to take the drudgery out of routine thought, and on the other hand",Paragraph
to tailor human thinking to suit the needs of some narrow-minded power-,Paragraph
élite.,Paragraph
"These, of course, are the grand prospects that affect economics, morality",Paragraph
"and sociology, in the same remote and statistical way as did the perfection",Paragraph
"of cavalry, the growth of feudal organisations, the rise of money economy.",Paragraph
"But, unlike those developments of the past, which left the objects of daily",Paragraph
"life, the hierarchy of the family and the structure of sociable intercourse",Title
"almost untouched, the technical revolutions of our own time strike us with",Paragraph
infinitely greater force because the small things of life have been visibly,Paragraph
and audibly revolutionised as well.,Paragraph
Even a man who does not possess an electric razor is ikely—in the,Paragraph
Westernised world at least—to dispense some previously inconceivable,Paragraph
"product, such as an aerosol shaving cream, from an equally unprecedented",Paragraph
"pressurised container, and accept with equanimity the fact that he can",Paragraph
"afford to throw away, regularly, cutting-edges that previous generations",Paragraph
would have nursed for years. Even a housewife who does not possess a,Paragraph
washing machine dispenses synthetic detergent from synthetic plastic,Title
packs on to synthetic fabrics whose quality and performance makes the,Paragraph
"jeatously-guarded secrets of silk seer trivial. A teen-ager, curled up with a",Paragraph
a.,Paragraph
"transistorised, printed-circuit radio, or boudoir gramophone, may hear a",Paragraph
"music that literally did not exist before it was committed to tape, repro-",Paragraph
duced at a level of quality that riches could not have bought a decade or so,Paragraph
"ago. The average automobile of today, running on such roads as have been",Paragraph
"especially contrived for it, provides transport more sumptuous in vehicles",Paragraph
more gorgeous than palanquin-borne emperors knew how to desire.,Paragraph
"Many technologies have contributed to this domestic revolution, but",Paragraph
most of therm make their point of impact on us in the form of small machines,Paragraph
"—shavers, clippers and hair-dryers; radio, telephone, gramophone, tape",Paragraph
"recorder and television; mixers, grinders, automatic cookers, washing",Paragraph
"machines, refrigerators, vacuum cleaners, polishers. ...A housewife alone,",Paragraph
often disposes of more horse-power today than an industrial worker did at,Paragraph
the beginning of the century. This is the sense in which we live in a,Paragraph
Machine Age. We have lived in an Industrial Age for nearly a century and,Paragraph
"a half now, and may well be entering a Second Industrial Age with the",Paragraph
current revolution in control mechanisms. But we have already entered the,Paragraph
"Second Machine Age, the age of domestic electronics and synthetic chem-",Title
"istry, and can look back on the First, the age of power from the mains and",Paragraph
"the reduction of machines to human scale, as a period of the past,",Paragraph
Although the earhest stirrings of that First Machine Age must have,Paragraph
"appeared with the availability of coal-gas for lighting and heating, the",Paragraph
"mechanism of light and heat remained @ flame, as it had been from the",Paragraph
"Stone Age onwards. Mains electricity made a decisive alteration here, one",Paragraph
"of the most decisive in the history of domestic technology. In addition, it",Paragraph
"brought small, woman-controlled machinery into the home, notably the",Paragraph
"vacuum cleaner. Electrical techniques brought the telephone as well, and",Paragraph
for the first time domestic and sociable communication did not depend on,Paragraph
the sending of written or remembered messages. The portable typewriter,Paragraph
"put a machine under the hands of poets, the first gramophones made music",Paragraph
a domestic service rather than a social ceremony.,Paragraph
"Alt these machines are still with us in the Second Machine Age, supple-",Paragraph
"mented and improved by more recent technological advances, but there is",Paragraph
"a more than quantitative difference between the two ages. In the Second,",Paragraph
highly developed mass production methods have distributed electronic,Paragraph
devices and synthetic chemicals broadcast over a large part of society—,Paragraph
"television, the symbolic machine of the Second Machine Age, hag be-",Paragraph
come a means of mass-communication dispensing popular entertainment.,Paragraph
"In the First, however, only cmema was available to a broad public, whose",Paragraph
home life was otherwise barely touched and it was in upper middle-class,Paragraph
"homes that the First Machine Age made its greatest impact, the homes that",Paragraph
"could afford these new, convenient and expensive aids to gracious living,",Paragraph
"the homes that tend to breed architects, painters, poets, journalists, the",Paragraph
creators of the myths and symbols by which a culture recognises itself.,Paragraph
"Thus, it was into the hands of an élite, rather than the masses, that the",Paragraph
"symbolic machine of that First Machine Age was delivered, the automobile,",Paragraph
"It was more than a symbol of power, it was also, for most of that éite,",Paragraph
a heady taste of a new kind of power.) One of the uncommented curiosities of,Paragraph
"the early part of the Industrial Age is that, in spite of its massive depen-",Paragraph
"dence on mechanical power, few of its éfite, if any, had any personal experi-",Paragraph
"ence of controlling that power. They could buy the use of it with money,",Paragraph
"and ride in its great ships and famous expresses, but they did not dirty",Paragraph
"their hands with the controls, That was left to a separate, working-class",Paragraph
"élite of ships’ engineers, engine-drivers and so forth, who retired into the",Paragraph
middie-classes when their service was complete.,Paragraph
"But, with the coming of purchasable motor-cars, it became possible, and",Paragraph
"fashionable, for the opinion-forming classes to own and personally control",Paragraph
"units of motive power of up to sixty, or even a hundred horse-power.",Paragraph
Although they brought ever into this new situation certain horse-and-,Paragraph
"groom social usages, the psychological effect was a revolution that struck",Paragraph
deep. Many of thern were clearly aware that the men who made and serviced,Paragraph
their cars were of an utterly different breed and mind to those who had bred,Paragraph
"and cared for their horses. Over and above this, the jump in speed from a",Paragraph
"spanking twenty-five miles an hour to the roaring sixties, with the magic",Paragraph
"century an ever approaching goal for the really rich and determined,",Paragraph
"brought in changes of experience that were qualitative, not merely quanti-",Paragraph
tative—the dynamics of a fast-moving car are different in kind to the,Paragraph
"dynamics of even a race-horse. The Man Muitiplied by the Motor, to use",Paragraph
"Marinetti’s phrase, was a different kind of man to the horse-and-buggy men",Paragraph
who had ruled the world since the time of Alexander the Great.,Paragraph
"Under these changed circumstances, that barrier of incomprehension",Paragraph
that had stood between thinking men and their mechanised environment,Paragraph
"all through the nineteenth century, in the mind of Marx as much as in the",Paragraph
"mind of Morris, began to crumble, Men whose means of moving ideas from",Paragraph
place to place had been revolutionised at their writing desks by the type~,Paragraph
"1 John Davidson, Scots chemist and journalist, whe died in 1909, expreased the",Caption
"élite aspect of motoring more explicitly than any other writer of the time, and",Paragraph
contrasted it with the mass experience of railway travel in a late poem entitled,Paragraph
"The Testament of Sir Stmon Sanplex concerning Automodilism, of which the following",Paragraph
lines are typical:,Paragraph
"Class, mass and mob for fifty years and more",Paragraph
Had ali to travel in the jangling roar,Paragraph
"Of railways, the nomadic caravan",Title
"That stifled individual mind in man,",Paragraph
Till automobilismm arose at last!,Paragraph
"And things that socialism supposed extinct,",Paragraph
"Degree, nobility and noble strife,",Title
"A form, a style, a privacy im life",Paragraph
"Will re-appear: and, crowning nature’a plan",Paragraph
The individual and the gentleman,Title
In England reassume his lawful place. . . .,Paragraph
"writer and the telephone, could no longer treat the world of technology",Paragraph
"with hostility or indifference, and if there is a test that divides the men",Paragraph
"from the boys in say, 1912, it is their attitude to Ruskin. Men whose view",Paragraph
"of the aima of art and the function of design were as diverse as could be,",Paragraph
"nevertheless united in their hatred of ce déplorable Ruskin,",Paragraph
‘The human chain of Pioneers of the Modern Movement that extends,Paragraph
"back from Gropius to William Morris, and beyond him to Ruskin, Pugin",Paragraph
"and William Blake, does not extend forward from Gropius. The precious",Paragraph
