text,label
BOOK Sigfried Giedion Building in France Building in Iron Building in Ferroconcrete.pdf,Caption
Introduction,Title
Sokratis Georgiadis,Title
There is broad agreement among historians of modern architecture that,Paragraph
"Sigfried Giedion’s Bauen in Frankreich, Bauen in Eisen, Bauen in Eisenbeton",Caption
(1928) may without reservation be called a classic of modern architectural,Paragraph
literature (fig. 1). Reyner Banham presents this book as a kind of authorized,Paragraph
history of Modernism: “the Modern Movement’s view of its own history.”!,Paragraph
On the basis of this book and in connection with Giedion’s work as secretary,Paragraph
"of the Congrés Internationaux d’Architecture Moderne (c1AM), Spiro Kostof",Caption
characterizes him as “the official historian of the Modern Movement.”? And,Paragraph
Stanislaus von Moos maintains that with Bauen in Frankreich Giedion has,Paragraph
“drawn the picture of a developmental continuity” that “time and again has,Paragraph
inspired the history of modern architecture.”>,Paragraph
"Nevertheless, one can hardly describe Giedion’s intention as primarily",Paragraph
"historiographic. With this book, born as it was from a series of articles writ-",Paragraph
ten for the journal Cicerone and still bearing “the odium of a manifesto”,Paragraph
"(von Moos), the author wanted to be, in his own words, “the conveyor of a",Paragraph
viewpoint.” He wanted to sketch a vision of a modern architecture that—in,Paragraph
accordance with the demands of the avant-garde — broke decisively with the,Paragraph
traditional values of the discipline. Only later did he place this vision within,Paragraph
a historical context. He attempted to do so by means of the hypothesis that,Paragraph
the great iron constructions of the nineteenth century and the ferroconcrete,Title
architecture produced by the pioneers of Modernism belong aesthetically,Paragraph
under one and the same roof.,Paragraph
"Intellectually, Bauen in Frankreich is the product of Giedion’s direct con-",Paragraph
"tact with the leading personalities of Modernism, “with the artists of his",Paragraph
own time.” This contact began during the summer of 1923 with the large,Paragraph
Bauhaus exhibition in Weimar (his first meeting with Walter Gropius) and,Paragraph
continued during the Esprit Nouveau exhibition of 1925 in Paris (his first,Paragraph
contact with Le Corbusier). It resulted in Giedion’s numerous articles on,Paragraph
"contemporary architecture, which appeared in newspapers and professional",Paragraph
journals in Germany and Switzerland. With the publication of Bauen in,Paragraph
Frankreich and with the assumption of his role as secretary general of claM,Paragraph
"(which he helped found in 1928), Giedion the historian renounced the",Paragraph
neutrality of an outside observer of events: he willingly shed his supposed,Paragraph
"Fig. 1. Sigftied Giedion. Courtesy Archiv S. Giedion, Institut fiir Geschichte und Theorie der",Caption
Georgiadis,Title
"innocence and became, both programmatically and definitively, an integral",Paragraph
"part of the Modern Movement. This, in any case, is how Giedion himself",Paragraph
related the sequence of events on various occasions. Yet things began quite,Paragraph
differently.*,Paragraph
Giedion was a Swiss citizen born in Prague on 14 April 1888. After com-,Paragraph
"pleting his secondary schooling, he studied mechanical engineering in",Paragraph
"Vienna at the behest of his parents. But engineering, with a view to taking",Paragraph
"over the family’s textile concern, was not to his liking, and he decided",Paragraph
instead to study art history. In 1915 he commenced his studies at the Uni-,Paragraph
"versity of Zurich and eventually transferred to the University of Munich,",Paragraph
"where Heinrich Wolfflin, one of the great art historians of the day, taught.",Paragraph
Giedion did his doctoral work under Wolfflin and in 1922 published his,Paragraph
"dissertation, Spdtbarocker und romantischer Klassizismus (Late Baroque and",Paragraph
"Romantic classicism).> Concurrent with his studies he wrote poetry, prose,",Paragraph
and — inspired by the Aktivismus literary movement —a play called Arbeit,Paragraph
"(Work), which was staged in 1917 in Vienna, Leipzig, and Basel, and in",Paragraph
Berlin by Max Reinhardt. In the turbulent years following World War 1,Caption
Giedion became politically active and supported the Munich Rédterepublik.,Paragraph
"In Munich he also met the art historian Carola Welcker, who was to become",Paragraph
his wife.,Paragraph
"Notwithstanding his excellent preparation for it, an orderly academic",Paragraph
career interested Giedion about as much as the management of a textile,Paragraph
mill. Instead he cast himself in the role of a comrade-in-arms in and — wher-,Paragraph
ever possible — fellow creator of an admittedly still-vague but all the more,Paragraph
passionately desired cultural renewal. It was precisely with this aim that he,Paragraph
"turned toward modern architecture, which received its first, unshakable",Paragraph
foundation with Bauen in Frankreich.,Paragraph
"In the decade following its publication, Giedion was active as a freelance",Paragraph
writer on art. He contributed regularly to the journals Cicerone and Cahiers,Paragraph
d’art; he wrote a small book on the modern housing form for a Zurich pub-,Paragraph
"lisher (Befreites Wohnen (Liberated dwelling], 1929); and for Editions Crés he",Paragraph
"prepared the first short monograph on Gropius (Walter Gropius, Paris, 1931).",Paragraph
He also worked intensively on a projected multivolume history of modern,Paragraph
"civilization, Die Entstehung des heutigen Menschen (The origin of modern",Paragraph
"man), which remained unfinished. From his home in the Zurich Doldertal,",Paragraph
which served both as the c1am headquarters and as a meeting place for,Paragraph
"Europe's avant-garde in art and architecture, Giedion launched an extraordi-",Paragraph
"narily broad series of activities. He organized exhibitions, gave numerous",Paragraph
introduction,Title
"lectures, and codirected a firm that had as its goal the dissemination of mod-",Paragraph
ern furnishings.® His interests ranged from the origins of the new vision in,Paragraph
modern painting to efforts to introduce a quiet toilet. As an architectural,Paragraph
client he initiated construction of two prototypical multifamily residences in,Paragraph
"Zurich, designed by Alfred and Emil Roth and Marcel Breuer.”",Paragraph
In the 1920s Giedion also tackled the issue of architectural education. In,Paragraph
the early 1930s he even sought an academic post at Zurich’s Eidgendssische,Paragraph
"Technische Hochschule (Swiss Federal Institute of Technology, ETH). His",Paragraph
"breakthrough, however, did not come until a few years later when, through",Paragraph
"the auspices of Gropius, he was appointed: the Charles Eliot Norton Profes-",Paragraph
sor of Poetry at Harvard University for the academic year 1938-1939.8 From,Caption
"his series of lectures titled “The Life of Architecture” came the book Space,",Paragraph
"Time, and Architecture,’ which has gone through numerous editions and",Paragraph
been translated into several languages. One of the century's most successful,Paragraph
"architectural books, it gained a considerable international reputation for its",Paragraph
"author. Giedion integrated large parts of Bawen in Frankreich into this work,",Paragraph
which Gropius described in a letter to its author of 18 May 1941 as “really,Paragraph
the best statement about our movement.”,Paragraph
"In Space, Time, and Architecture Giedion also broadened his conception",Paragraph
of Modernism. He discussed the turn-of-the-century’s moral revolt against,Paragraph
eclecticism and the revolution of modern painting (which was the first art,Paragraph
to develop a new spatial conception} as further important factors in defin-,Paragraph
ing the new architecture — factors that reached beyond a simply technical-,Paragraph
"constructional interest. In precisely this architecture, the cultural role of",Paragraph
which extended beyond the narrow boundaries of the discipline he had pon-,Paragraph
"dered, Giedion believed he could discern the first signs of a synthesis of the",Paragraph
"objective, practical, and expressive aspects of culture and of a repeal of mod-",Paragraph
"ern man’s disastrous “schism between thinking and feeling,” for which he",Paragraph
