text,label
BOOK Sigfried Giedion Space Time and Architecture.pdf,Caption
INTRODUCTION,Title
Unknown in the United States and using a language that is,Paragraph
"foreign to me, I must seek the shortest way to direct contact",Paragraph
with an American public. The way of personal contact is,Paragraph
"always the shortest route to understanding, not merely in",Paragraph
personal but in general matters. Let me begin then by saying a,Paragraph
few words about where I come from and where I intend to go —,Paragraph
for these facts have a bearing upon the discussion that follows.,Paragraph
As an art historian I am a disciple of Heinrich Wolfflin. In our,Paragraph
personal contacts with him as well as through his distinguished,Paragraph
"lectures, we, his pupils, learned to grasp the spirit of an epoch.",Paragraph
Wolfflin’s incisive analysis made clear to us the true meaning,Paragraph
and significance of a painting or a piece of sculpture.,Paragraph
He delighted in contrasting one period with another. He em-,Paragraph
ployed this method most effectively both in his teaching and,Paragraph
"in his books —in his Renaissance and Baroque (1889), in",Paragraph
"Classical Art (1899), in which the fifteenth century is opposed",Paragraph
"to the sixteenth, and even in his Principles of Art (Kunst-",Paragraph
"geschichtliche Grundbegriffe, 1915), which had just appeared",Paragraph
when I studied under him at Munich. Many of his pupils have,Paragraph
"tried to emulate this method of contrasting styles, but none",Paragraph
have achieved the same depth and directness.,Paragraph
"In my own first book, Late Baroque and Romantic Classicism",Paragraph
"(Munich, 1922, written as a thesis), I tried to follow Wolfflin’s",Paragraph
method. The periods contrasted were the end of the eighteenth,Paragraph
"century and the beginning of the nineteenth, both periods of",Paragraph
classicism. The Louis X VI style formed in shape and structure,Paragraph
"the end of late baroque tendencies, with classicism serving as",Paragraph
its framework. The classicism of the beginning of the nine-,Paragraph
teenth century found its most significant outlet in that country,Paragraph
"of romantics, Germany. In the architecture of the time the",Paragraph
trend toward an individualistic isolation of rooms from each,Paragraph
other was nowhere so strongly marked as it was in Germany —,Paragraph
"in the work of K. F. Schinkel, for example. This was the true",Paragraph
architectural equivalent of the individualism of the romantic,Paragraph
poets.,Paragraph
I called this period one of romantic classicism. Classicism in,Paragraph
"both periods was only a coloring — a transitory fact, as I would",Paragraph
7 PSremmeness ase,Caption
"say now. The essential characteristic of this time was that,",Paragraph
"beneath the classic exterior, the baroque inheritance had begun",Paragraph
to disintegrate and nineteenth century tendencies had begun,Paragraph
to appear.,Paragraph
The problem which fascinated me was how our epoch had been,Paragraph
"formed, where the roots of present-day thought lay buried.",Paragraph
This problem has fascinated me from the time I first became,Paragraph
capable of reasoning about it until today.,Paragraph
"Heinrich Wélfflin was the pupil of Jakob Burckhardt, and",Paragraph
succeeded him as professor at the University of Basle when he,Paragraph
was only twenty-seven years old. He later taught with great,Paragraph
success at Berlin and Munich. Wolfflin always laid stress on,Paragraph
the wide view taken by Jakob Burckhardt and often quoted,Paragraph
Burckhardt’s words not only in his lectures but also in con-,Paragraph
yersation. Thus the Swiss historical tradition formed the basis,Paragraph
of our instruction in the science of art. But I am afraid that,Paragraph
many of us did not grasp the significance of Burckhardt — a,Paragraph
significance which reached beyond his métier — until much,Paragraph
later.,Paragraph
Jakob Burckhardt (1818-1897) was the great discoverer of the,Paragraph
age of the Renaissance. He first showed how a period should,Paragraph
"be treated in its entirety, with regard not only for its painting,",Paragraph
"sculpture, and architecture but for the social institutions of its",Paragraph
daily life as well.,Paragraph
"I shall mention only one book in this connection, his Civiliza-",Paragraph
"tion of the Renaissance, which first appeared in 1860. The",Paragraph
English translation was produced in 1878. An extremely well-,Paragraph
informed review of it appeared in the New York Herald for,Paragraph
"October 20, 1880. Burckhardt, who normally shrank from",Caption
"praise, was so pleased with this review that he wrote “ Bravo!”",Paragraph
at the bottom.,Paragraph
In Cwilization of the Renaissance Burckhardt emphasized,Paragraph
sources and records rather than his own opinions. He treated,Paragraph
only fragments of the life of the period but treated them so,Paragraph
skillfully thal a picture of the whole forms in his readers’ minds.,Paragraph
Jakob Burckhardt had no love for his own time: he saw during,Paragraph
the forties an artificially constituted Europe which was on the,Paragraph
verge of being overwhelmed by a flood of brutal forces. The,Paragraph
South at that Lime appeared to have withdrawn from history ;,Paragraph
for Burckhardt it bad the quiet of a tomb. So it was to Lhe,Paragraph
"South, to [taly, that he turned for refuge from all those things",Paragraph
for which he fell hatred and disgust. Bul Burckhardt was a,Paragraph
"man of great vitality, and a man of vitality cannot entirely",Paragraph
desert his own time. His flight to Italy produced the finest,Paragraph
"traveler's guide that has ever been wrilten, his Cicerone",Paragraph
(1855) -- a book which has opened the eyes of four generations,Paragraph
"to the unique qualities of the Italian scene, His Civilization",Paragraph
of the Renaissance aimed at an objective ordering of factual,Paragraph
"material, but in it his greatest efforls are devoted to uncovering",Paragraph
"the origins of the man of loday. John Ruskin, Burekhardt's",Caption
"immediate contemporary, also hated the age and sought to",Paragraph
draw the means for its regeneration from other periods (though,Paragraph
not those which preoccupied the Swiss historian).,Paragraph
But I owe as large a debt to the artists of today as to these,Paragraph
guides of my youth. It is they who have laught me to observe,Paragraph
"seriously objects which seemed unworthy of interest, or of",Paragraph
interest only to specialists. Modern artists have shown that,Paragraph
mere fragments lifted from Lhe life of a period can reveal ils,Paragraph
habits and feelings; that one must have Lhe courage to take,Paragraph
small things and raise them to large dimensions.,Paragraph
These artists have shown in their pictures that the furniture of,Paragraph
"daily life, the unnoticed articles that result from mass produc-",Paragraph
"tion — spoons, bottles, glasses, all the things we look at hourly",Paragraph
without seeing — have become parts of our natures. They,Paragraph
have welded themselves into our lives without our knowing it.,Paragraph
My activities have brought me into friendly contact with the,Paragraph
architects of our day. We have sat together in small groups,Paragraph
"about many tables in Europe, from Stockholm to Athens —",Paragraph
not to discuss problems in art or matters of specialized detail,Paragraph
"but to determine as clearly as possible what directions housing,",Paragraph
"town planning, or regional planning had lo take. This close",Paragraph
and continual contact granted me the privilege of seeing,Paragraph
architectural problems in their nascent slate.,Paragraph
THE IHSTORIAN’S RELATION TO HIS AGE,Paragraph
"The historian. the historian of architecture especially, must be",Paragraph
in close contact with conlemporary conceplions.,Paragraph
Only when he is permeated by the spirit of his own Ume is he,Paragraph
prepared to detect those tracts of the past which previous,Paragraph
genera lions have overlooked.,Paragraph
History is nol static but dynamic. No generation ts privileged,Paragraph
to grasp a work of art from all sides: cach actively’ living,Paragraph
generation discovers new aspects of it. But these new aspects,Paragraph
will not be discovered unless the historian shows in his field the,Paragraph
cournze and energy which artists have displayed in their use of,Paragraph
methods developed in their own epoch.,Paragraph
"Archilects have imitated other periods, taken over their special",Paragraph
"shapes and techniques, in the hope of escaping from transitory",Paragraph
work and achieving a timeless rightness. And afler a short time,Paragraph
"their buildings have become lifeless masses of stone, in spite of",Paragraph
the incorporation into them of details from works of eternal,Paragraph
beauly. These men possessed the exact contrary of the,Paragraph
* Midas touch “ — everything they pul their hands on turned,Title
to dust rather Lhan to gold. Today we can see why. History,Paragraph
"is nol simply the repository of unchanging facts, bul a process,",Paragraph
a pattern of living and changing altitudes and interpretations.,Paragraph
"As such, itis deeply a part of our own natures. To turn back-",Paragraph
ward lo a past age is not just to inspect it. to find a pattern,Paragraph
which will be the same for all comers. The backward look,Paragraph
transforms its object: every spectator at every period —,Paragraph
"at every moment, indeed — inevitably transforms the past",Paragraph
according to his own nature. Absolute points of reference are,Paragraph
no more open to the historian than they are to the physicist;,Paragraph
both produce descriptions relative to a particular situation.,Paragraph
Likewise there are no absolute standards in the arts: the nine-,Paragraph
tecnth-century painters and architects who thought certain,Paragraph
"forms were valid for every age were mistaken, Flistory cannot",Paragraph
be Louched without changing it.,Paragraph
The painters of our period have formulated a different,Paragraph
atuitude: lo spetlatore nel centro del quadro. The observer must,Paragraph
"be placed in Lhe middle of the painting, not at some isolated",Paragraph
"observation point outside. Modern art, like modern science,",Paragraph
recognizes the fact that observation and what is observed,Paragraph
form one complex siLuation — to observe something is to act,Paragraph
upon and alter it.,Paragraph
THlistorians quile generally distrust absorption into contempo-,Paragraph
rary ways of thinking and feeling as a menace to their scientific,Paragraph
"detachment, dignity, and breadth of outlook. But one can be",Paragraph
"thoroughly the creature of one’s own period, embued with its",Paragraph
"methods, without sacrificing these qualities. Indeed. the",Paragraph
historian in every field must be united with his own time by,Paragraph
as widespread a system of roots as possible. The world of,Paragraph
"history, like the world of nature, explains itself only to Lhose",Paragraph
"who ask the right questions, raise the right problems. The his-",Paragraph
lorian must be intimately a part of his own period to know,Paragraph
what questions concerning the past are significant to it.,Paragraph
"Apart from this approach, history remains a wilderness of",Paragraph
blank happenings in which no creative work is possible.,Paragraph
Only dead chronologies and limited special studies will be,Paragraph
produced. The historian detached from the life of his own time,Paragraph
"writes irrelevant history, deals in frozen facts. But it is his",Paragraph
unique aud nontransferable task to uncover for his own age its,Paragraph
vital interrelalionships with the past.,Paragraph
The historian cannot in actual fact detach himself from the,Paragraph
"life about him; he, too, stands in the stream. The ideal his-",Paragraph
"torian — out of the press of affairs, au-dessis de la mélée, sur-",Caption
veying all time and all existence from a lofty pedestal — is a,Paragraph
fiction.,Paragraph
"The historian, like every other man, is the creature of his Lime",Paragraph
and draws from it both his powers and his weaknesses. By,Paragraph
virtue of lus calling he may survey a larger circle of events,Paragraph
"than his average conlemporary, bul this docs not lift him out of",Paragraph
his own historical selling. It is even to his advantage lo be,Paragraph
forced from his academic chair occasionally and made to,Paragraph
participate in Lhe common struggles of the moment. For direct,Paragraph
contact with life and its necessilies sharpens his abilities to,Paragraph
penetrate the jungle of printed records to the unfalsified voices,Paragraph
of the real actors.,Paragraph
It is the task of the historian to recognize the truth through,Paragraph
all its disguises.,Paragraph
Unfortunately the historian has often used his office to pro-,Paragraph
claim the eternal right of a static past. He has gone further,Paragraph
and has used arguments based on past happenings to restrict,Paragraph
and distort the future.,Paragraph
THE DEMAND FOR CONT,Title
ATY,Title
For planning of any sort our knowledge must go beyond the,Paragraph
state of affairs that actually prevails. To plan we must know,Paragraph
what lias gone on in the past and feel what is coming in the,Paragraph
future. This is not an invitation to prophecy but a demand,Paragraph
for a universal outlook upon the world.,Paragraph
At the present time the difficult field of town planning seems,Paragraph
to resist all handling. In times when a universal viewpoint,Paragraph
existed no genius was required to produce urban treatments of,Paragraph
high quality whose influence long outlasted the period of their,Paragraph
creation. Achievements brought about for a specific purpose,Paragraph
and # specific social class proved serviceable in a quite different,Paragraph
period for different purposes and different groups. This was,Paragraph
possible simply because the original crealion came out of a,Paragraph
universal point of view.,Paragraph
Today the urge toward such universality is deeply felt by,Paragraph
evervone. It is the reaction against a whole century spent in,Paragraph
living from day to day. What we sce around us is the reckon-,Paragraph
ing that this shortsightedness has piled up.,Paragraph
"This living from day to day, from hour to hour, with no feeling",Paragraph
"for relationships, does not merely lack dignity; it is neither",Paragraph
natural nor human. It leads to a pereeption of evenls as,Paragraph
isolated points rather than as parts of a process with dimen-,Paragraph
sions reaching out inlo history. The demand for a closer con-,Paragraph
tact with history is the natural oulcome of this condition.,Paragraph
"To have a closer contact with history: in other words, to carry",Paragraph
on our lives ina wider time-dimension. Present-day happen-,Paragraph
ings are simply the most conspicuous sections of a continuum;,Paragraph
they are like that small series of wave lengths between ullra-,Paragraph
violet and infra-red which translate themselves into colors,Paragraph
visible Lo the human cye.,Paragraph
The destructive confusion of events in the world at large today,Paragraph
is so great that the movement toward universality is clearly,Paragraph
visible in the field of science and scholarship. The desire for,Paragraph
similarity of methods in the separate sciences — including the,Paragraph
"social sciences — in philosophy, and in art, becomes more and",Paragraph
more definite. Already the demand for a universal outlook,Paragraph
upon the world has made itself felt in the college: intellectual,Paragraph
connections between the various faculties are consciously,Paragraph
being developed.,Paragraph
Everybody knows that we have far more means of bringing,Paragraph
change under farsighted control than any of the peoples of,Paragraph
earlier times. It is the new potentialities at our disposal which,Paragraph
are the key to a new and balanced life for enormous numbers,Paragraph
of men.,Paragraph
The desire for universality is an expression of the need we feel,Paragraph
to master and codrdinate these new potentialities.,Paragraph
It is always dangerous to assume that one’s own time has an,Paragraph
"exceptional importance. Even so, the years through which we",Paragraph
"are living seem to constitute a test period for mankind, a test",Paragraph
of man’s ability to organize his own life.,Paragraph
CONTEMPORARY HISTORY,Title
A wider survey of the whole domain of human activity is the,Paragraph
unmistakable need of the century. It is in this connection that,Paragraph
history can play an important role. One of the functions of,Paragraph
"history is to help us to live in a lafger sense, in wider dimen-",Paragraph
sions. This does not mean that we should copy the forms and,Paragraph
"attitudes of bygone periods, as the nineteenth century did, but",Paragraph
that we should conduct our lives against a much wider histori-,Paragraph
cal background.,Paragraph
"In the part of contemporary history we shall be concerned with,",Paragraph
the most important developments are the changes that have,Paragraph
come about in daily life.,Paragraph
The eternal complaint of the nineteenth century was that all,Paragraph
the dignity had gone out of ordinary life. And ordinary life,Paragraph
did lose its dignity from the moment it was put on an exclu-,Paragraph
ively day-to-day basis. People lost all sense of playing a part,Paragraph
st pistory: they were either indifferent to the period in which,Paragraph
jhey lived or they hated it. When they compared themselves,Paragraph
with the people of other periods their activities seemed unim-,Paragraph
"portal stand without significance, either good or bad.",Paragraph
The same feeling produced an extreme disregard for the,Paragraph
"immediate past — for contemporary history, Lhat is. Uncon-",Paragraph
"sciously, jn their matter-of-fact constructions, the men of the",Paragraph
ninetcenth century were producing the constituent facts from,Paragraph
which the future was to take its structure. They did not sce,Paragraph
"this. however; indeed, it is sometimes not recognized today,",Paragraph
The result was not merely the neglect of contemporary history,Paragraph
but something still worse —- the wanton destruction of the,Paragraph
objects and the records which were essential to its understand-,Paragraph
ing. Later periods will be forced to leave great gaps in their,Paragraph
“accounts of the modes of existence of the nineteenth and,Title
twenLieth centuries and the origin of these.,Paragraph
On every band we hear the complaint that essential documents,Paragraph
have been lost through sheer indifference to our own tradition.,Paragraph
"The town planner, for example, cannot find the detailed ac-",Paragraph
counts of the evolution of great cities which he needs in his,Paragraph
researches. The virtues and defects of the various types of,Paragraph
"cities — governmental centers, sea ports, factory towns — can-",Paragraph
"not be compared, simply because there has been no steady and",Paragraph
unified research. The fact that research has been so irregular,Paragraph
means that the historian anxious to complete a survey such as,Paragraph
this one must sometimes fall back on his own investigations.,Paragraph
"The danger of overemphasis is, of course, always present.",Paragraph
The history of nineleenth-century industry has suffered,Paragraph
heavily from our indifference to our own tradition and is full,Paragraph
"of gaps. The extremely interesting development of tools, for",Paragraph
"example, can be seen only from the few surviving ninetcenth-",Paragraph
century hardware calalogues. For the most part these cata-,Paragraph
"logues of the thirties, fifties, and seventies have been lost.",Paragraph
There are only a few places where these irreplaceable docu-,Paragraph
ments have been preserved; the library of the Victoria and,Paragraph
Albert Museum in London is one of them.,Paragraph
The period in America when complicated trades abandoned,Paragraph
handwork and changed over to machine production is a unique,Paragraph
"one, without counterpart elsewhere in the world. I myself",Paragraph
visited a great factory outside Boston where clocks and watches,Paragraph
were first assembled from standardized parts shortly after,Paragraph
1850. (This principle later found its most extensive use in the,Paragraph
manufacture of automobiles.) The early products of this fac-,Paragraph
tory were mentioned by some European observers of the,Paragraph
seventies. I wanted to see examples of them and to study the,Paragraph
early catalogues of the company. There were no old cata-,Paragraph
"logues at all— the company destroyed them, on principle,",Paragraph
when they were three years old — and the only old watches,Paragraph
"were those which had come in for repairs. ‘There was, on the",Paragraph
"other hand, a Jarge, valuable, but historically unimportant",Paragraph
collection of European watches.,Paragraph
"The oldest mail-order house in the country, with an annual",Paragraph
"business of $500,000,000, is located in Chicago. [ went there",Paragraph
to see what changes had been made in articles of daily life,Paragraph
since Civil War times. The company possessed some material —,Paragraph
"incomplete, however — and very properly kept it in a safe.",Paragraph
The Otis Elevator Company in New York had comparatively,Paragraph
full records of their products — and the literature dealing with,Paragraph
elevators is none too precise — but even here material dealing,Paragraph
with the earliest beginnings had not been preserved.,Paragraph
"In the 1880’s, when European architecture seemed given over",Paragraph
"to a future of muddle, indecision, and despair, a new architec-",Paragraph
ture was growing up on the American prairies. From 1880 to,Paragraph
the time of the Columbian Exposition of 1893 the “ Loop ”,Title
"area in Chicago (its business quarter, that is) was the center",Paragraph
of architectural development uot merely for the United States,Title
but for the whole world.,Paragraph
It may be that after a few decades the skyscraper automati-,Paragraph
cally becomes a sort of blighted area and must be torn down.,Paragraph
It may be that the Marshall Field wholesale store -— one of,Paragraph
Chicago’s finest buildings and Henry Hobson Richardson’s,Title
best work — had to be destroyed to create a parking lot.,Paragraph
It may be that there was no other direction for a highway,Paragraph
except one that will eventually lead over the site of the Adler,Paragraph
"and Sullivan Auditorium, with ils unique theater interior.",Paragraph
It may be that John Root’s Monadnock Block — the most,Paragraph
celebrated of the early skyscrapers — cannot be protected,Paragraph
e advance of the subway system. Whether or not,Paragraph
ajust th ;,Paragraph
ae lt upon the recent past 1s unavoidable docs not,Paragraph
this assau,Title
concert: us here. .,Paragraph
"Tt does concern us, however, that there is no particular feeling",Paragraph
for what is being destroyed. Chicago seems quite unaware of,Paragraph
the signilicance of the Chicago school. i went searching in,Paragraph
Chicugo for pictures of the interiors of ils great hotels and,Caption
"apartient houses in the cighties, buildings which in their",Paragraph
whole organization foreshadow ed many present-day develop-,Paragraph
ments. One pholographer told me that he had destroyed,Paragraph
thousands of plates picturing these interiors; he needed the,Paragraph
"space, and was aware of no reason why they should be pre-",Paragraph
served. For the past few years several institutions in Chicago,Paragraph
have heen endeavoring to preserve material of this sort. It is,Paragraph
"doubtful, however, whether their endeavors are enough Lo stop",Paragraph
the losses that constantly occur.,Paragraph
These remarks have been made simply to indicate the wide-,Paragraph
"spreacl indifference to the immediate past, to the century out",Paragraph
of which our period grows and derives the basic elements for,Paragraph
its own life.,Paragraph
THE IDENTITY OF METHODS,Title
Our period is a period of transition. The tangle of different,Paragraph
"tendencies continuing from the past or pointing to the future,",Paragraph
tendencies which mix confusedly and interpenetrate al every,Paragraph
"point, makes our period seem to lack any definite line of",Paragraph
advance. To some it presents the appearance of a chaos of,Paragraph
contradictory impulses. An‘ eminent French sociologist wrote,Paragraph
"recently that ‘ we see around us nothing save tumult, aimless",Paragraph
"agitation, hesitant opinions, vacillating thoughts.”",Paragraph
"We must not forget, however, that this particular transition",Paragraph
period has lasted fora whole century. It has made itself felt,Paragraph
in cach country at the same rate and in the same proportion,Paragraph
as the disorder which the process of industrialization produced,Paragraph
every where.,Paragraph
"Ever since the opening of this transitional period, our mental",Paragraph
life hag been without equilibrium. Our inner being has under-,Paragraph
gone division. This state of the contemporary spiril has been,Paragraph
"recognized often enough, bul its consequences have not been",Paragraph
drawn.,Paragraph
if chaos had for its only definition the coexistence of tendencies,Paragraph
"contradictory to one another, our period would certainly de-",Paragraph
serve to be called chaotic. But we believe that these contra-,Paragraph
dictions are merely surface ones.,Paragraph
There is this remarkable circumstance which we can observe,Paragraph
today: sciences which differ widely in their objects are begin-,Paragraph
ning to resemble each other in their methods. A continued and,Paragraph
extensive search for exact knowledge is at the bottom of this,Paragraph
growing resemblance. It is being recognized in all quarters,Paragraph
that the ideas which we have Laken over from the past are both,Paragraph
too complex and too crude.,Paragraph
A transition period may affect two observers in verv different,Paragraph
ways. One may see only the chaos of contradictory traits and,Paragraph
mutually destructive principles: the other may see beneath all,Title
this confusion those elements which are working together to,Paragraph
open the way for new solutions. It is not a simple thing to,Paragraph
"decide between two such judgments, to determine which has",Paragraph
emphasized the essential marks of the time. We need some,Paragraph
"objective guide to what is going on in the depths of the period,",Paragraph
some sign by which we can determine whether or nol its dis-,Paragraph
persed energies are being brought into united action. A com-,Paragraph
"parison of the methods which govern its major activities, its",Paragraph
"thinking and feeling, may afford us such an objective",Paragraph
crilerion.,Paragraph
"John Dewey, in his Ari as Experience, points out that “com-",Paragraph
partmentalization of occupations and interests brings about,Paragraph
separation of that mode of activity commonly called * practise *,Paragraph
"from insight, of imagination from executive doing, of significant",Paragraph
"purpose from work, of emotion from thought and doing.”",Paragraph
Each of these activities is Lhen assigned “its own place in,Paragraph
which it must abide. Those who wrile the anatomy of experi-,Paragraph
ence then suppose that these divisions inhere in the very,Paragraph
conslitution of human nature.”,Paragraph
It is just such an evolution which lies behind the doubt as Lo,Paragraph
whether science and art have anything in common. The ques-,Paragraph
Uon would not be raised except in a period where thinking and,Paragraph
fecling proceed on different levels in opposition to each other.,Paragraph
"In such a period, people no longer expect a scientific discovery",Paragraph
to have any repercussions in the realm of feeling. It seems,Paragraph
unnatural for a theory in mathematical physics to meet with,Paragraph
all equivalent in the arts. Bul thts is to forget that the two,Paragraph
"are formulated by men living in the same period, exposed lo",Paragraph
"the same general influences, and moved by similar impulses.",Paragraph
Thought and feeling could be entirely separated only by cut-,Paragraph
ting men in bwo.,Paragraph
We have behind us a period in which thinking and feeling,Paragraph
were separated. This schism produced individuals whose inner,Paragraph
"development was uneven, who lacked inner equilibrium: split",Paragraph
personalities. The split personality as a psychopathic case,Title
does not concern us here; we are speaking of the inner dis-,Paragraph
harmony which is found in the structure of the normal person-,Paragraph
ality of this period.,Paragraph
What are the effects of this inner division? Only very rarely,Paragraph
do we encounter a master in one field who is capable of recog-,Paragraph
nizing workers of the same stature and tendency in another.,Paragraph
Contemporary artists and scientists have lost contact with,Paragraph
each other; they speak the language of their Lime in their own,Paragraph
"work, but they cannot even understand it as it is expressed",Paragraph
in work of a different character. The great physicist may,Paragraph
lack all understanding of a painting which presents the,Paragraph
artislic equivalent of his own ideas. A great painter. may fail,Paragraph
entirely to grasp architecture which has developed out of his,Paragraph
own principles. Men who produce poetry which is purely an,Paragraph
