text,label
BOOK Vittorio M Lampugnani.pdf,Caption
General Editor’s Preface,Title
"The predecessor of this work, the Encyclopaedia",Paragraph
"of Modern Architecture, was first published in",Paragraph
"1963. Now, after an interval of twenty years.",Paragraph
"new, expanded and completely revised version",Title
is available,Paragraph
Any attempt at an overview of architectural,Title
development. such as that presented in an,Paragraph
"encyclopaedia, is inevitably rooted in the s+",Paragraph
sumptions and historical perspectives of the,Paragraph
period in which it is compiled. It comes as ue,Paragraph
"surprise, therefore, that in the carly iyo. an",Paragraph
over-riding concern was to present an extensive,Paragraph
"panorama of architectural modemism, with the",Paragraph
resule that concepts and movements ike con-,Paragraph
temporary historicism or Art Deco were,Title
despite their wide implications omitted,Paragraph
"Similarly, important figures such as Hemnich",Paragraph
"Tessenow, then not the subject of much discus",Paragraph
individual,Title
alongside a Mies van der Rohe or a Terragin:,Paragraph
even Erich Mendelsohn was included primarily,Paragraph
"for his bold use of modern materials, rather than",Paragraph
for the expressive and sculptural qualities of his,Paragraph
"work; and, in the context of building materials,",Paragraph
"glass, steel and reinforced concrete",Title
primary stimuli in the evolution of a new,Title
architecture,Title
"In short, after more than twenty years, the",Paragraph
Preparation of a new edition could not he,Paragraph
restricted to bringing existing entries up to date,Paragraph
and introducing new names and concepts,Title
"Rather, the entire work had to be revised and",Paragraph
given a broader historical basis. It is thus nat 3,Paragraph
matter of chance that this latest edition appears,Title
"under a different title, one in which the emotive",Paragraph
and subjective concept of the Modern Move-,Paragraph
ment has been replaced by 4 neutral designation,Paragraph
based on the period covered,Paragraph
"The scape of this encyclopaedia is, then. the",Paragraph
architecture and urban planning of the 207);,Paragraph
century scen in an overall spectrum and pre-,Paragraph
sented in three different general categories ci,Paragraph
subject-matter: biographies of individual archs-,Title
teets; surveys of architectural developinents tt,Title
individual countries; and overviews of move-,Paragraph
"ments, groups and stylistic trends.",Paragraph
The number of individual biographical vo-,Paragraph
tries which can be included in an encyclopacdia,Paragraph
"sion, were not accorded entries",Paragraph
viewed as,Paragraph
were accorded their own entries,Paragraph
"of this type is of necessity limited, but an mdex",Paragraph
of proper names is also included for thy reader's,Paragraph
convenience. In cach case the decision for or,Paragraph
against inclusion has to be hased on at variety of,Paragraph
"criteria, and many an omission may well sccm",Paragraph
unjust,Title
individual countries whose sigiiicant architec-,Paragraph
The same holds true in the case of chose,Paragraph
tural output is the subject of closer serutiny: as,Paragraph
"with the biographical entries, the choice has had",Paragraph
to be severely restricted and the coveraue,Paragraph
"general, The siruation is no different. cher. in",Paragraph
"the case of mevements, groups aid trends: their",Paragraph
inclusion brings with it an invelyvement ip the,Paragraph
questionable gaine of philological classiticanion,Title
and Jabelling - something which inevitably,Paragraph
tends to categorize in crude terms the commples,Paragraph
and mutofarious elements that interact with,Paragraph
each other wa cultural contexte,Title
The era in which an cneyelopacdia could bey,Paragraph
clains to being a tool for ‘knowing evervihin’,Paragraph
past. Denis Diderut,Caption
d'Alembert could stil put forch wt choroughts,Paragraph
unified and complete syste of hurnan kinew=,Paragraph
and Jean-Buapuste,Title
ledge as a manifesta of the Enlightenment,Title
"Today, when knowledge presents itech us",Paragraph
fragmentary and contradigtory. iis be longer,Paragraph
possible ta produce encyelopacdias an x hich,Paragraph
great deal of varted information is pistaposes,Paragraph
with equal weighting,Title
ofter a handbook which contains,Title
and even more a Book to provide the reader,Paragraph
Pus. cur sina ete is te,Paragraph
Wyer ier,Title
wath a oserse of erienbaben within 6 Sigs,Title
"context, nether than Co presente detiagy aid",Paragraph
complete compihotran af fats Tbe ets,Title
berra ibbs edn works devoted dey,Title
opis,Title
Teg bos Fe noes) Scitercni thi Gee pes ss,Title
et neralaycrk dirs sre tendon te,Title
' boa et by Vipin,Caption
boo ceteris ons Sa ase,Title
‘ Po patire de hihi iad rant,Title
rs Oe,Title
Peed os iad es bar tacit,Title
So che ema as keer ad Hess,Title
weet Neil tives eddie poe,Title
. oan waed Ws ed as .,Paragraph
themselves embodied shifts in entirely new,Paragraph
directions); the countries are those which have,Paragraph
witnessed important and influential architec-,Paragraph
tural developments: and the movements those,Title
which have had a decisive influence on the entire,Paragraph
architectural panorama,Title
Even if the final responsibility for the selec-,Paragraph
tion and the balancing of the entries lies with the,Paragraph
"editor, there is certainly no other type of book",Paragraph
in Which one rehes more on che help of others,Paragraph
than as the case with an encyclopaedia. The,Paragraph
present work is the result of the collective efforts,Paragraph
"of a group of colleagues, almost: without",Paragraph
exception well-acquainted and often close,Paragraph
"friends, who, holdin varying",Paragraph
"viewpoints, united an this conimon purpose",Paragraph
These,Title
despite,Title
contributors cainot all) be suitably,Paragraph
"thanked here, and least of all Axel Menges, who.",Paragraph
was the most closely involved with the book asa,Paragraph
relentless reader and a most competent con-,Paragraph
"tributor, as well as bearing the brunt of the task",Paragraph
of co-ordination; and Gerd Hage. who was,Paragraph
naturally also closely involved as a contributor.,Paragraph
"friend, critic, adviser and publisher.",Paragraph
Finally. mention must be made of the fact,Paragraph
that a significant part of my own work on this,Paragraph
"book was done at Columbia University, New",Paragraph
"York, especially on those articles which dircetly",Paragraph
concem the USA. This would not have been,Paragraph
possible without the generous support of the,Paragraph
"American Council of Learned Societies and, in",Paragraph
"particular, the personal and friendly interest of",Paragraph
"Richard Downar, Director of the American",Title
Studies Program. VML,Paragraph
RB,Title
List of contributors,Title
Friedrich Achleitner,Title
Reyner Banham,Title
Barry Bergdoll,Title
Moritz Besser,Title
Peter Blake,Title
Christian Borngraber,Title
Robert Bruegmann,Title
Max Cetto,Title
Alexandre Cirici-Pellicer,Title
Jean Louis Cohen,Title
Robert L. Delevoy,Title
Philip Drew,Title
Tobias Faber,Title
Kenneth Frampton,Title
Jorge Glusberg,Title
Vittorio Gregotti,Title
Oswald W. Grube,Title
Ids Haagsma,Title
Hilde de Haan,Title
Horst Hartung,Title
Gerd Haye,Title
Gilbert Herbert,Title
Antonio Hernandez,Title
Thomas Herzog,Title
"John M, Jacobus. Jr",Title
Falk Jaeger,Title
Jurgen Joedicke,Title
"William H., Jordy",Title
Walter KieB,Title
Bjorn Linn,Title
David Mackay,Title
VML,Title
cM,Title
KM,Title
RM,Title
HM,Title
AM,Title
NM,Title
RMi,Title
KM,Title
HEM,Title
LM,Title
CFO,Title
Pa,Title
WP,Title
Po,Title
CR,Title
PR,Title
R,Title
PCvS,Title
MS,Title
GS,Title
PS,Title
$s,Title
BT,Title
GV,Title
IV,Title
FW,Title
AW,Title
IBW,Title
AWi,Title
HY,Title
Vittorio Magnayo Lampugnans,Title
Carolina Mang,Title
Karl Mang,Title
Robert Maxwell,Title
Harald Meck,Title
Axel Menges,Title
Norbert MeBler,Title
Robin Middleton,Title
Kirino Mikkola,Title
Henrique E. Mindlin,Title
Leonardo Mosso,Title
Christian F. Otto,Title
Jurgen Paul,Title
Wolfgang Pehnt,Title
Julms Posener,Title
Christopher Riopelle,Title
Peter Rump?,Title
Joseph Rykwert,Title
Peter C. von Seidlein,Title
Margit Staber,Title
Gavin Stamp,Title
Pekka Suhonen,Title
Julia Szabo,Title
Barbara Tilson,Title
Giuha Veronesi,Title
Jacobus Johannes Vrieni,Title
Frank Werner,Title
Arnold Whittick,Title
Tam Boyd Whyte,Title
Alfred Willis,Title
Uajime Yarsuka,Title
"Aalto, (Hugo) Alvar (Henrik). b. Kuortane.",Caption
Finland 188. d. Helsinki 1y76. Studied at the,Caption
"Polytechnic in Helsinki from ty 16, graduating",Paragraph
"in 1g24, he was a pupil of Armas Lindgren and",Paragraph
Lars Sonck. In the following years he travelled,Paragraph
"widely in Scandinavia, Central Europe and",Paragraph
Italy and was probably active for a short time in,Paragraph
the Planning Office of the Gothenburg Pair of,Paragraph
1923. His career began ofheially with the,Paragraph
Tampere Industrial Eximbiuon of,Title
although various minor works dating from,Paragraph
his student years are known,Paragraph
"In 123 A. opened his first office in [ywdsk va,",Paragraph
and in 192s he married the architect: Amo,Paragraph
"Marsio, wha was to be his most important",Paragraph
"collaborator until her death in ty 49, above allin",Paragraph
handling the production and direction of the,Paragraph
firm of Artck Wooden Furniture. which way,Paragraph
first conceived in 1y28 in conjunction with the,Paragraph
construction of the Sanatorium at Paine,Caption
In 1927 A. left Jyvaskyla. where le had,Paragraph
designed several tm portant buildings including,Caption
the Workers” Club of 1923-5 and the building,Title
for the Patriots’ Associations. 1y27 4,Caption
"which belong to bis pre-functional, neo-class-",Paragraph
"cal period, He settled in Turku. then Fintand’s",Paragraph
most artistically receptive city. These were Key,Paragraph
"years in his development as an architect, a",Paragraph
period in which his works attest to the sam,Paragraph
direction and the :,Title
as the most advanced contemporary work in,Paragraph
Central Europe. The standardized block of Hats,Paragraph
"of 1927-8 in Turku, with its prefabricated",Paragraph
"concrete elements, is comparable with the",Paragraph
contemporary experiments of *Mivy ¥,Title
Rohe and *Gropius in Stuttgart,Title
In ty2y A. worked in collaboration with,Paragraph
*Bryggman on the exhibition held to celebrate,Caption
the 7ooth anniversary of the city of Turki:,Title
staged one year before the better-known Stoun-,Paragraph
holm Exhibition designed by * Asplund. it was.,Paragraph
together with the house A. built in Turku. che,Caption
first complete and public expression of moder,Title
architecture in Scandinavia. In the same year 4,Paragraph
was drawn into the international arehitectus,Paragraph
avant garde as the result of Sigfhied Giedien,Paragraph
praise and through his participation ar t+,Title
meeting of *CIAM. This year also marks te,Paragraph
Waa.,Paragraph
works,Title
same level of quality,Title
der,Title
beginning of his relucionslip wrth artists se7,Title
Fernand Léy nied,Title
Moholy-Nagy. Georges Brague and Viesands:,Caption
Calder. A. and his family moved to Helsiks on,Paragraph
ty3t. an event which signalled his comple,Paragraph
imtegredion into Finnish cultural dite,Title
The highly important Turku period closed,Title
with the shit of Avs work and of Finnish,Paragraph
architecture in general towards modermivin. At,Paragraph
the sante time his work in Turku anticipated the,Paragraph
"later, fully developed Aalto style. Vhus. che",Paragraph
works of this period already encapsulated the,Paragraph
outstanding characterisuc of ASS architeeture,Title
its capacity to be both of its time and essentially,Paragraph
"timeless, Examples are the Headquarters of the",Paragraph
Turan Sanonut newspaper in Turku 612,Title
ty28 ye the Library in Viipurt fiy27. iy gee,Caption
and the Sanatorium of Southwest Finland in,Paragraph
Paina fi. 1y2g-4ari,Caption
"works date trom this period, many of which",Paragraph
Constantin Brune,Title
Numerous other,Title
were soon to become classics of modern arehi-,Paragraph
tecture: A.sown house in Helsinki ig34. 025,Caption
"6), the Finnish Pavilion at the Pans Pxposnon",Caption
Universelle frugs. 193 vthe complex far the,Caption
Celhdose Factory in Snniha fiy3s,Paragraph
"the Villa Mairea, near Noormakku ‘1",Caption
the Finnish Payikon atthe New York World's,Caption
Fair tigay. tas ys anil,Caption
Kanttia Saye. igh gar,Paragraph
unexccuted designs of tis period ure esentutl La,Caption
Ly ite;,Paragraph
he Terrace House th,Title
"Morcover, soverdl",Title
gorthe complies themes or As,Paragraph
a tenderstandis,Title
work. These include: the Blomberg Cine,Paragraph
Helsinki fiya8i the vomipeution desig: far ily,Title
extension ofthe Ci,Title
Aalto.,Paragraph
"Aalto. Cellulose Factury, Sunila (13s 2. 1y36 oi",Caption
Aalto. Town Hail. Sivnatsalo (iugy. tyso 2),Caption
(1938); the competition entry for the Huka,Paragraph
district in Helsink! {1o4o}: the ‘Experimental,Title
"City’ (1940), and the development plan for the",Paragraph
Kokemaki valley (:y41 2),Caption
"The war years, during which A. served on",Paragraph
"the front, and the period immediately after the",Paragraph
"war, in which he was acnvely engaged in",Paragraph
reconstruction work in Preland (including the,Paragraph
development plan for che ruined capital,Title
"of Finnish Lapland, Rovanivni, which he drew",Paragraph
"up in 1944-5), interrupted Cie orchitect’s cre-",Paragraph
"ative development; around i: <2. however, his",Paragraph
fertile mind was directed tov o*!s even more,Paragraph
"complex problems, considerin;;",Paragraph
"the fundamental physical, psyci. 9) <1, social",Paragraph
and cultural needs of the era. Fro :i:is period,Paragraph
date: the Senior Students’ Dorm -:.. (Baker,Caption
nuctancously,Title
House) at the Massachusetts Institute of Tech-,Caption
"nology in Cambridge, Mass. (1947-8); and the",Paragraph
"Town Hall in Saynitsalo (1949, (9s0 2), a",Caption
umeless masterpiece in which a love of ma,Paragraph
terials and a romantic sense of space are,Paragraph
rediscovered as a means to enhance the social,Paragraph
and political values of the community. The,Paragraph
unrealized design for the cemetery chapel in,Caption
Malm in north Helsinki (1950) reflectsa psycho-,Paragraph
logical sensitivity to human fragility and a,Paragraph
respect for the pain experienced by those having.,Paragraph
to face the fact of another person’s death; here,Paragraph
Aalto achieved the profundity and tenderness of,Paragraph
"high poetry, for which no parallel exists in the",Paragraph
"architecture of this period. Likewise unrealized,",Paragraph
"the cemetery project for Kongens Lyngby, near",Caption
"Copenhagen (1931), succeeded more than",Paragraph
any other design in encapsulating A.’s rela-,Paragraph
tionship to Nature as a logical collaborator in,Paragraph
"the creative process. Finally, the project for the",Paragraph
Vogelweidplatz in Vienna (1953) expresses,Title
another recurrent and complex theme in A.’s,Paragraph
work — the effect on the individual of being,Title
handled as part of the greater mass.,Paragraph
A. achieved at this point an absolute control,Paragraph
"in the handling of technique and space, based on",Paragraph
his thirty years’ experience and enriched by his,Paragraph
continual involvement with human and psy-,Paragraph
chological needs. This was also the period of his,Paragraph
"urban involvement, culminating in his different",Paragraph
plans for the centre of the Finnish capital (1959-,Caption
73). His most important buildings in Helsinki,Paragraph
include: the National Pensions Institution,Title
"(1948, 1952-6); the Rautatalo Office Building",Caption
"(1952, 1953—5); the Cultural Centre (1955-8);",Paragraph
the Administration Building of the Enso-,Caption
Aalto. Culeural Centre. Flelsinkt (russ: 8},Caption
"Gutzeit Company (1959, 1960-2): the Seandi-",Paragraph
"navian Bank Building. (1962, 1962 4): the",Caption
"University Bookshop (1962, 1966- y); the Con-",Paragraph
"cert and Congress Hall (1y62, 1y7-71): and",Paragraph
finally the ‘Finlandia’ conference centre and,Paragraph
"concert hall (1970, 1973-5).",Paragraph
"The architect Elissa Makiniemi, whom A",Paragraph
"had married in 1952, collaborated increasingly",Paragraph
"in his later works, and particularly on the",Paragraph
extension to the Polytechnic in Oranienn and,Paragraph
"the Lappia Cultural Centre in Rovaniemi, the",Paragraph
latter built 1970-5 as part of the administrative,Paragraph
and cultural centre originally projected in 1963,Paragraph
Since 1976 Elissa Aalto has continued the work,Paragraph
"of A.’s office, having finished work left incum-",Paragraph
plete or still at the planning stages at the time of,Paragraph
"the master’s death, including the Essen Opere",Paragraph
"House (19s9ff.), the Civic Centre in Jyvisky",Caption
"(1964ff.), and the church at Lahti (competition",Caption
"project 1950, realized 1970ff.)",Paragraph
"In addition to work in Helsinki, a whol",Paragraph
"series of buildings, development plans ant",Caption
Projects outside the capital bear witness to 1,Title
high quality of A.’s design capabilities and tat:,Paragraph
"profundity of his thought, deeply rooted ini.",Paragraph
"historical, cultural, and geographical traditiei:.",Paragraph
of his country. For example: the prograne,Paragraph
"Aalto. Vaokscuniska Church, Giitra trust oy",Caption
and the prototype houses tor the reconstruction,Paragraph
alter the war (gg). the master-plin for bratra,Paragraph
(1947-83): the regtonal pha tor Lapland tgs:,Paragraph
shi the campus of the College of Pducation,Paragraph
"Jyvaskyla (iyse, t9sa-6), the centre ef Sei",Caption
ajoki with the Procestunt Church (rasa. 198s,Paragraph
"60), the Town Hall fiyde, tute si. bibrars",Caption
"(1963, 1964-8) and Parish Commiuanity Phouse",Paragraph
(1663. tod Ob ASS own summer hase an,Paragraph
Muuratale (1983,Title
Munkkiniems (last si the aan boilduns ot,Title
"the Polytechnic ia bnwira Gase, past uo thy",Caption
his own studi cn,Title
Vaoksenniska church. Inmatra (ous@. caso ue,Caption
the Muscum af Central Finland Ie casa la,Title
frgsg. tee tn the Pabrary er the Polarg isis,Paragraph
Mest hiye gy. byes Gi the Sports eters,Caption
BEAL bums,Title
"er Peucatian, iss",Title
Atte,Title
habs Aivar Mincum,Title
sible por ss,Title
Wie dk. Prog ts outside Pia 1,Caption
Ceo neaddhte nm re thas oo ese cre t,Title
1 Don - ] sey ',Caption
pyso fi NPs: tarred,Title
n moun the Nort,Title
Poorman css,Title
"Aalto. Maison Carré, azochessur- Guyotnie,",Caption
France (ys ub,Title
Aalto. Chorch at Riola di Vergato (iget) 78,Caption
1969-73); the apartment block in- Bremen's,Paragraph
"Neue Vahr development (loss, tys9-62); the",Paragraph
cultural centre (1ysk. 1089 62) and the parish,Paragraph
"community centre (19s, 1960 2) In Woifs-",Paragraph
burg; the Vastmanland-Dala Students’ Associ-,Title
"ation headquarters in Uppsala (1y61, 1963. 5):",Paragraph
Scandinavia House in Reykjavik (1962-3.,Caption
1965-8); the interior design of the Institute of,Paragraph
"International Education, New York (1903,",Caption
"1g64-5); the Schonbubl apartment house, Lu-",Caption
"cere, (1965, 1966-8), the Library of Mount",Caption
"Angel Benedictine College, Mount Angel,",Caption
"Oregon (1965-6, 1967-70): and the parish",Paragraph
"community contre in Riola di Vergato, near",Caption
Bologna (1966 78). Among A.’s unrealized,Paragraph
projects these for town halls in,Paragraph
Gothenburg (1gss-7). Marl (1957) and,Paragraph
"Castrop-Rauxel (1y65), fora cultural centre in",Caption
"Leverkusen (1962), and for muscums in Bagh-",Paragraph
dad (1958) and Shiraz (1970).,Paragraph
"The furniture, lighting fixtures and other",Title
useful objects designed by A. in conjunction,Paragraph
with his individual building projects fram 1928,Paragraph
"on, and produced under his supervision, re-",Paragraph
Hected the same development stages as are,Paragraph
seen in his architecture. These interior fittings,Paragraph
were,Title
were always conceived as ‘detached parts’ of the,Paragraph
