text,label
BOOK Walter Curt Behrendt Modern Building Its Nature Problems And Forms.pdf,Caption
MODERN BUILDING,Title
INTRODUCTION: THE PROBLEM OF ORDER,Title
ARCHITECTURE AS AN EXPERIENCE,Title
"In 1770, a young student from Frankfort set out to enter the",Paragraph
"University of Strasbourg, where his father wanted him to study",Paragraph
"law. Soon after his arrival in the foreign town, he went to see the",Paragraph
"famous cathedral, and from his very first moment in the presence",Paragraph
of this masterpiece of the Gothic he was deeply impressed.,Paragraph
"His previous studies in art had been guided by his father, who",Paragraph
"had taught him, in accordance with the esthetic ideals of his",Paragraph
"time, to regard the works of the ancients as the height of taste",Paragraph
"and the measure of beauty. In his father’s house, every day he",Paragraph
"had seen a series of Roman views, with which the Imperial",Paragraph
Councilor Johann Kaspar Goethe had adorned the ante-room:,Paragraph
"engravings by some of the accomplished predecessors of Piranesi,",Paragraph
"views of the Piazza del Popolo, the Colosseum, St. Peter’s",Caption
"Church, within and without, and the Piazza of St. Peter’s. In",Paragraph
"Dichtung und Wahrheit, we are told how these images im-",Paragraph
"pressed themselves deeply upon the youngster, trained his eyes,",Paragraph
formed and determined his judgment in art.,Paragraph
"From those examples, when he first approached the Strasbourg",Paragraph
"Cathedral, his head was full, as he said, of a general knowledge",Paragraph
of good taste. From hearsay he knew about harmony of masses,Paragraph
and clearness of forms; and by esthetic doctrine he was a pro-,Paragraph
fessed adversary of Gothic jig-saw work. Gothic he had been,Paragraph
"taught to interpret as something barbarous. But now, upon be-",Paragraph
"holding the great cathedral, his learned doctrine was overthrown",Paragraph
"by immediate experience. And trusting the deep impression, he",Paragraph
cast aside the traditional prejudices of his time. He had per-,Paragraph
ceived the greatness and sublimity of Gothic art.,Paragraph
From intuitive perception he then proceeded to study and in-,Paragraph
"vestigation. A spirit always striving to order isolated experiences,",Paragraph
he reflected on his impression. His findings were given form and,Paragraph
"published in his famous essay Von deutscher Baukunst, dedi-",Paragraph
"cated to Erwin von Steinbach, the builder of the Cathedral. In",Paragraph
"its clear conception of general principles, the paper reveals the",Paragraph
divination of a genius. In language poetic with the passion and,Paragraph
"enthusiasm of youth, the author praised the originality of the",Paragraph
"Gothic building, which seemed to him “‘not a product of human",Paragraph
"hands, but a creation of nature, everything perfect in form, even",Paragraph
"to the smallest detail, everything subordinated to the whole.”",Paragraph
In his imagination he set the Cathedral face to face with the re-,Paragraph
membered models of classicism. Their polished beauty seemed,Paragraph
"to him the mere result of esthetic rules, while the naturalness",Paragraph
and even harshness of the Gothic building seemed to manifest,Paragraph
"creative power. Interpreting his experience, he came to say: “Art",Paragraph
"is formative long before it is fine, and yet is true and great, in-",Paragraph
"deed, often truer and greater than fine art itself.”",Paragraph
THE DUALISM OF THE CREATIVE INSTINCT,Title
We set out from this profound statement because it refers to,Paragraph
"ar i er Cn, sn",Paragraph
"ee, ee re, ee",Title
"into the problem of order, which is the core of our discussion.",Paragraph
