"Introduction",Title
"Cultural Developments",Title
"Chapter 1",Title
"The Modern City: Planning in the 19th Century, 19691",Title
"Technical Transformations:",Title
"Part Il",Title
"A Critical History 1836-",Title
"News from Nowhere:",Title
"Adler and Sullivan: the",Title
"the Myth of the Prairie",Title
"spectacular free-standing, helical, reinforced-concrete stair",Caption
"24 Terragni, Casa del Fascio, Como, 1932-36, during a demonstration (see p.",Caption
"3 Boulle, project for a cenotaph for Isaac Newton, c. 1785. Section by night.",Caption
"4 Durand, possible combinations and permutations of plan forms, from his",Caption
"7 Labrouste, book stack of the Bibliotheque Nationale, Paris, 1860-68.",Caption
"9 Godin, Familistre, Guise, 1859-70.",Caption
"10 The regularization of Paris: streets cut by Haussmann are shown in black.",Caption
"15 J.A. and W.A. Roebling, Brooklyn Bridge, New York, under construction, c.",Caption
"16 Stephenson and Fairbairn, Britannia Tubular Bridge over the Menai Straits,",Caption
"18 Dutert and Contamin, Galerie des Machines at the Paris Exhibition, 1889,",Caption
"Rondelets Trait de /art de batir (1802) and culminated at",Paragraph
"construction, and all stylistic transformations are merely the",Paragraph
"(1899). For Choisy the essence of architecture is",Paragraph
"masses.",Paragraph
"Seine, which also served as the main collector sewer, Paris",Paragraph
"The enthusiasm of the Gothic revivalists died out when they",Paragraph
"which will not and cannot have a living style, because it is",Paragraph
"19th century. The former was atheistic and consciously",Paragraph
"Ruskin, who acquired his intellectual following in 1846",Paragraph
"Millais in 1848.",Paragraph
"Cultural Shifts in Urban Design",Title
"Chapter 2: Industrialization and Its Impact",Title
"Urban Green Spaces: A Historical Perspective, 1975",Title
"Part III: The Evolution of Building Materials",Title
"An Overview of Modernism: 1900-",Title
"Frank Lloyd Wright: His Life and Work",Title
"The Impact of Globalization on Architecture",Title
"25 Wright, Fallingwater, Pennsylvania, 1935, amidst nature.",Caption
"5 Le Corbusier, Villa Savoye, Poissy, 1929, showcasing modernism.",Caption
"6 Gropius, Bauhaus Dessau, 1926, a blend of form and function.",Caption
"8 Hadid, MAXXI Museum, Rome, 2010, a feat of fluid geometry.",Caption
"11 Saarinen, TWA Flight Center, New York, 1962, a symbol of flight.",Caption
"17 Foster, 30 St Mary Axe, London, 2004, a skyscraper with purpose.",Caption
"19 Calatrava, Milwaukee Art Museum, 2001, opening up to the lake.",Caption
"design as a reflection of cultural values,",Paragraph
"emphasizing sustainability in modern designs",Paragraph
"The necessity of adaptive reuse in urban environments,",Paragraph
"nderstanding the socio-political context of architectural",Paragraph
"the interplay of light and shadow in spatial design",Paragraph
"Exploring the intersection of art and architecture",Paragraph
"The influence of technology on contemporary building practices",Paragraph
"Modern Architecture: A Very Short Introduction",Title
"Iron and modern science",Title
"Space and industrial culture",Title
"Sullivan, Wright, and the separation of wall from structure",Title
"New images of modernity",Title
"Mies in the sky",Title
"Shaping modern culture in steel",Title
"Chapter 3",Title
"Reinforced concrete and the sale of expertise",Title
"Global brutalisms",Title
"1. Iron Bridge, Ironbridge, Shropshire, UK, completed 1779. A",Caption
"2, St Genevive Library, Paris, France, 1850. Slender iron vaults",Caption
"4. Administration block for the Fagus factory, Afeld, Germany, 1913.",Caption
"5. Schrder House, Utrecht, the Netherlands, 1924, Walls, balconies,",Caption
"6. Minerals and Metals Research Building, Illinois Institute of",Caption
"7. S.R. Crown Hall, ITT, Chicago, USA, 1947, The exception that",Caption
"8. Seagram Building, New York, USA, 1958. A shell and core tower",Caption
"9. Villa Hennebique, Bourg-la-Reine, Paris, France, 1904. A show-off",Caption
"20. Cowshed at Gut Garkau Farm, Germany, 1925. Initially",Caption
"21. Saynatsalo Town Hall, Finland, 1951. Steps lead from the street to",Caption
"iron. In 1878, Semper argued that architecture should express,",Paragraph
"Adrian Forty has highlighted that such theories about spacewhich entered",Paragraph
"Another image of the steel frame that became a key reference was the",Paragraph
"administration block of the Fagus shoe-last factory at Afeld, Germany,",Paragraph
"1913, designed by Walter Gropius and Hannes Meyer (Figure 4). Its the",Paragraph
"scientific culture, arguing for special buildings, which people could identify",Paragraph
"left later versions to his associates.",Paragraph
"labours was steel.",Paragraph
"appeared initially unassuming, arranged around a courtyard with low roofs.",Paragraph
"the council chamber, reached by a brick-lined and brick-floored staircase,",Paragraph
"Art Nouveau |",Title
"1890-1910",Title
"Antecedents",Title
"Viollet-le-Duc and structural rationalism",Title
"Symbolism",Title
"Art Nouveau in Belgium and France",Title
"Paris and Nancy",Title
"Dutch Art Nouveau and the work of H. P. Berlage",Title
"Modernisme in Barcelona",Title
"Austria and Germany: from Jugendstil to classicism",Title
"2 Eugne Rousseau",Caption
"3 Henry van de Velde",Caption
"4 Henry van de Velde",Caption
"5 Victor Horta",Caption
"6 Hctor Guimard",Caption
"Maison Coilliot, 1897, Lille",Caption
"8 Hendrick Petrus Berlage",Caption
"stair hail, Villa Henny, 1898,",Caption
"9 Antoni Gaudi",Caption
"1898-1914, Barcelona",Caption
"Solvay as a dwelling like any other .. . but with an interior character-",Paragraph
"Peuple in Brussels of 1896-9 (demolished 1965}. He received this com-",Paragraph
"ing an irregular site boundary, is in fact a classical composition",Paragraph
"The Gothic references here Brussels, Guimard was so impressed that he revised the drawings for",Paragraph
"the Villa Henny in the Hague (1898), like many Arts and Crafts and Art",Paragraph
"The first signs of Modernismeas Art Nouveau was called in",Paragraph
"In the context of the Austro-Hungarian Empire, the conflict",Paragraph
"between these diametrically opposed concepts was exacerbated by the",Paragraph
"political struggle between the metropolis, with its liberal and rational-",Paragraph
"emblem of political and cultural freedom,' as in Catalonia, Finland,",Paragraph
"1. No Longer a Facade",Title
"Il. No Longer a House",Title
"Ill. No Longer Shaped Space",Title
"Behne and the Neue Sachlichkeit",Title
"Sachlichkeit in the Publications of Other Modernists",Title
"Notes",Title
"Rosemarie Haag Bletter",Title
"Does Modernism Equal Functionalism?",Title
"The Background to the Debate in Germany:",Title
"The Structure and Politics of Education As a Competitive System",Title
"Fig. 1. Theodor Fischer, Birds-eye view of a housing project in Gmindersdorf, near",Caption
"Fig. 2. Theodor Fischer, Birds-eye view of a housing project in Munich-Laim, 1910-1911.",Caption
"Munich, Architektursammlung, Technische Universitat Miinchen. Photo: Courtesy Dipl.",Caption
"Fig. 3. Theodor Fischer, Main hall, German Werkbund exhibition, Cologne, 1914. Munich,",Caption
